E, cm-1	Sigma_00, cm2	
9.643546e+04	2.487526e-14
9.651371e+04	2.488062e-14
9.659377e+04	2.488266e-14
9.667571e+04	2.478706e-14
9.675955e+04	2.487677e-14
9.684535e+04	2.486914e-14
9.693314e+04	2.476863e-14
9.702298e+04	2.475671e-14
9.711491e+04	2.482929e-14
9.720898e+04	2.472399e-14
9.730524e+04	2.470298e-14
9.740375e+04	2.467879e-14
9.750455e+04	2.473819e-14
9.760770e+04	2.470781e-14
9.771325e+04	2.467484e-14
9.782126e+04	2.463998e-14
9.793179e+04	2.460345e-14
9.804489e+04	2.464481e-14
9.816062e+04	2.460303e-14
9.827905e+04	2.455912e-14
9.840024e+04	2.459029e-14
9.852425e+04	2.453970e-14
9.865115e+04	2.448729e-14
9.878101e+04	2.450919e-14
9.891389e+04	2.452701e-14
9.904986e+04	2.454067e-14
9.918901e+04	2.448038e-14
9.933139e+04	2.448947e-14
9.947709e+04	2.449517e-14
