E, cm-1	Sigma_00, cm2	
9.3087897617e+04	3.6077203655e-14
9.3088032490e+04	4.0351764932e-14
9.3088168925e+04	3.9921040138e-14
9.3088306940e+04	3.9491093222e-14
9.3088446553e+04	3.9062420623e-14
9.3088587782e+04	3.8635417484e-14
9.3088730647e+04	3.8210376639e-14
9.3088875166e+04	3.7787489938e-14
9.3089021358e+04	3.7366851656e-14
9.3089169244e+04	3.6948463597e-14
9.3089318842e+04	3.6532241426e-14
9.3089470172e+04	4.0118690923e-14
9.3089623254e+04	3.9720581994e-14
9.3089778109e+04	3.9323146397e-14
9.3089934757e+04	3.8926931637e-14
9.3090093219e+04	3.8532378048e-14
9.3090253516e+04	3.8139814055e-14
9.3090415669e+04	3.7749454126e-14
9.3090579700e+04	3.7361399626e-14
9.3090745630e+04	3.6975642482e-14
9.3090913482e+04	4.0012443597e-14
9.3091083277e+04	3.9646370924e-14
9.3091255038e+04	3.9280473870e-14
9.3091428788e+04	3.8915360258e-14
9.3091604550e+04	3.8551532641e-14
9.3091782347e+04	3.8189380673e-14
9.3091962204e+04	3.7829175304e-14
9.3092144142e+04	3.7471065436e-14
9.3092328188e+04	3.7115077625e-14
9.3092514364e+04	3.6761119099e-14
9.3092702697e+04	3.6408984005e-14
9.3092893210e+04	3.6058362422e-14
9.3093085929e+04	3.5708851483e-14
9.3093280880e+04	3.5359968048e-14
9.3093478089e+04	3.5011162663e-14
9.3093677580e+04	3.4661835028e-14
9.3093879382e+04	3.4311351590e-14
9.3094083521e+04	3.7044404847e-14
9.3094290023e+04	3.6715554186e-14
9.3094498917e+04	3.6387976189e-14
9.3094710229e+04	3.6061322349e-14
9.3094923989e+04	3.5735142842e-14
9.3095140223e+04	3.5408900603e-14
9.3095358962e+04	3.5081987379e-14
9.3095580233e+04	3.4753741590e-14
9.3095804067e+04	3.7114641837e-14
9.3096030492e+04	3.6803234743e-14
9.3096259540e+04	3.6492632262e-14
9.3096491239e+04	3.6182551532e-14
9.3096725622e+04	3.5872597484e-14
9.3096962718e+04	3.5562275787e-14
9.3097202560e+04	3.5251008909e-14
9.3097445179e+04	3.7297776747e-14
9.3097690608e+04	3.6997891585e-14
