E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_02, cm2	Sigma_10, cm2	Sigma_11, cm2	Sigma_12, cm2	Sigma_20, cm2	Sigma_21, cm2	Sigma_22, cm2	
9.357882e+04	1.822617e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.359273e+04	1.819187e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.360200e+04	1.816947e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.361592e+04	1.813730e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.362519e+04	1.811689e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.363910e+04	1.808523e-14	3.985241e-19	0.000000e+00	1.217546e-22	5.940587e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.365301e+04	1.805488e-14	7.857973e-20	0.000000e+00	1.940000e-21	2.219652e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.366692e+04	1.802519e-14	6.665643e-20	0.000000e+00	3.193510e-21	2.154268e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.368083e+04	1.799707e-14	3.984736e-20	0.000000e+00	2.791373e-21	2.115466e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.369474e+04	1.796755e-14	2.033408e-20	0.000000e+00	1.854201e-21	2.088148e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.370865e+04	1.793990e-14	1.339155e-20	0.000000e+00	1.491587e-21	2.067281e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.372257e+04	1.791179e-14	1.416549e-20	0.000000e+00	1.851436e-21	2.049208e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.373648e+04	1.788454e-14	1.543505e-20	0.000000e+00	2.302850e-21	2.034052e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.375039e+04	1.785797e-14	1.764529e-20	0.000000e+00	2.945375e-21	2.020998e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.375503e+04	1.784946e-14	1.852038e-20	0.000000e+00	3.197852e-21	2.017075e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.376894e+04	1.782418e-14	2.230089e-20	0.000000e+00	4.224612e-21	2.005986e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.378285e+04	1.779858e-14	2.441870e-20	0.000000e+00	5.019039e-21	1.996018e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.380140e+04	1.776436e-14	2.476858e-20	0.000000e+00	5.598764e-21	1.983568e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.381531e+04	1.773993e-14	2.331626e-20	0.000000e+00	5.613119e-21	1.975031e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.383385e+04	1.770868e-14	1.999610e-20	0.000000e+00	5.188700e-21	1.964130e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.385240e+04	1.767654e-14	1.644524e-20	0.000000e+00	4.560747e-21	1.953884e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.386631e+04	1.765339e-14	1.382245e-20	0.000000e+00	4.010692e-21	1.946598e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.387095e+04	1.764583e-14	1.305352e-20	0.000000e+00	3.842087e-21	1.944283e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.388486e+04	1.762374e-14	1.103981e-20	0.000000e+00	3.384479e-21	1.937562e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.388950e+04	1.761582e-14	1.077395e-20	0.000000e+00	3.345910e-21	1.935410e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.390341e+04	1.759360e-14	9.779894e-21	0.000000e+00	3.151483e-21	1.929243e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.390805e+04	1.758572e-14	9.175272e-21	0.000000e+00	2.991585e-21	1.927279e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
