E	J	a
70	170	3535.815533204704
70	175	3662.4762104708298
70	180	3790.762131961888
70	185	3928.9986488549357
70	190	4062.1824334101566
70	195	4207.562381650802
80	0	1493.5184174387864
80	5	1496.5160887621755
80	10	1504.5339045687838
80	15	1517.5155315160846
80	20	1535.5471496893535
80	25	1558.5204593390663
80	30	1586.49871348306
80	35	1619.5206763236959
80	40	1657.4436527799742
80	45	1700.3908357161308
80	50	1748.2964566864237
80	55	1801.1877151360684
80	60	1859.009602215816
80	65	1921.9016956966077
80	70	1989.6527206897526
80	75	2062.320132011853
80	80	2140.006508417214
80	85	2222.581179475383
80	90	2310.318549383155
80	95	2402.7875019042076
80	100	2500.0506980817754
80	105	2602.4644824151924
80	110	2709.7505068496594
80	115	2822.6566254056993
80	120	2939.197476906401
80	125	3061.388207531765
80	130	3190.72481666251
80	135	3320.375959031394
80	140	3458.1263979331434
80	145	3600.5912018777844
80	150	3746.5774503771486
80	155	3897.242147495478
80	160	4054.3625778212713
80	165	4219.451969593654
80	170	4381.524440757967
80	175	4554.512823548786
80	180	4729.736130877746
80	185	4910.867021258907
80	190	5096.098542425907
80	195	5290.696534083369
90	0	2786.3045427016605
90	5	2793.939387671997
90	10	2814.256103645254
90	15	2847.2644877300045
90	20	2892.9820228089675
90	25	2951.362676365518
90	30	3022.3971964799816
90	35	3106.08863089328
90	40	3202.4419399409057
90	45	3311.3615524265533
90	50	3432.894043813595
90	55	3567.021605890986
90	60	3713.7476389783255
90	65	3872.9769174228663
90	70	4044.866453217927
90	75	4229.086324543456
90	80	4426.070173914159
90	85	4635.289857223448
90	90	4857.432434053749
90	95	5091.468997730301
90	100	5338.501749023102
90	105	5597.701214516298
90	110	5870.233139828742
90	115	6154.884897611779
90	120	6451.153548723376
90	125	6760.014000843442
90	130	7081.524739551314
90	135	7416.936759258593
90	140	7764.380690207112
90	145	8126.000700652124
90	150	8495.629773150586
90	155	8884.71732409791
90	160	9279.203301513668
90	165	9682.436759055014
90	170	10114.153416431918
90	175	10537.959010945662
90	180	10994.135853574788
90	185	11441.174197797338
90	190	11922.50920882957
90	195	12396.556430038321
100	0	306.7362021909943
100	5	308.04841660092586
100	10	311.54704455980334
100	15	317.23066305965494
100	20	325.0959272643963
100	25	335.13938550984915
100	30	347.3576504578967
100	35	361.7460801385075
100	40	378.3003919607523
100	45	397.0164131456777
100	50	417.89030740866906
100	55	440.9181556174285
100	60	466.0963558099447
100	65	493.4235045651468
100	70	522.8950018651758
100	75	554.5093618473395
100	80	588.2646937628814
100	85	624.164185864203
100	90	662.1940037479649
100	95	702.3681764627944
100	100	744.7017799784227
100	105	789.1168517313475
100	110	835.7079591864504
100	115	884.4298038716959
100	120	935.3247534754657
100	125	988.3475842800887
100	130	1043.387551479425
100	135	1100.8292779770532
100	140	1160.2478865261326
100	145	1221.654356871477
100	150	1285.8264450113527
100	155	1351.2372620469837
100	160	1419.3459718209663
100	165	1490.3734852008279
100	170	1561.3208157995377
100	175	1637.3460495656996
100	180	1711.922689970186
100	185	1791.7321627149872
100	190	1871.7987904297938
100	195	1953.8967134591346
110	0	91.14578194687341
110	5	92.03561792015857
110	10	94.40695081195229
110	15	98.25583694215881
110	20	103.57665419317432
110	25	110.3629010951726
110	30	118.60804651609925
110	35	128.30599741212131
110	40	139.45144570835316
110	45	152.0400212266681
110	50	166.0681276139817
110	55	181.5331338082607
110	60	198.43271057139748
110	65	216.7653835278379
110	70	236.5301356796946
110	75	257.72580276886634
110	80	280.35098336341304
110	85	304.40624470025836
110	90	329.8926000109689
110	95	356.8065082851239
110	100	385.15043741973795
110	105	414.91913785528976
110	110	446.1236672798788
110	115	478.7490820695534
110	120	512.8071122880694
110	125	548.2975778949577
110	130	585.2339017083292
110	135	623.5569555032687
110	140	663.4016535890838
110	145	704.5794945972586
110	150	747.3630747887302
110	155	791.2366381733206
110	160	836.9778821482915
110	165	884.2178199431919
110	170	932.4299637127783
110	175	981.8253087052026
110	180	1033.805757375062
110	185	1085.881856740002
110	190	1139.7239618835963
110	195	1195.7209348295114
120	0	0.03494036046169583
120	5	0.0004828860977530181
120	10	0.004841901718399506
120	15	0.018335423136206817
120	20	0.097185303185558
120	25	0.3653391066795506
120	30	3.581471016394706
120	35	8.319130535141026
120	40	13.96738790382938
120	45	20.41785842309052
120	50	27.638634510942467
120	55	35.617093000683894
120	60	44.34722972368838
120	65	53.82580460109639
120	70	64.05090900152884
120	75	75.02130082069363
120	80	86.73619677373075
120	85	99.19497350455244
120	90	112.39718371737051
120	95	126.3424827567849
120	100	141.03072825593352
120	105	156.4618022490207
