# R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
3.458205899999999833e+00 -5.295456606853616677e+02 -5.294995988450430104e+02 -5.294715045225844960e+02 -5.294759592270385156e+02 -5.295169801112076584e+02 -5.295003007631228229e+02 -5.294639576030629087e+02 -5.295169801112076584e+02 -5.295003007631228229e+02 -5.294639576030629087e+02 -5.294715835748268091e+02 -5.294674592287756241e+02 -5.299478463974430724e+02 -5.295405945141413895e+02 -5.294701035139357828e+02 -5.294954901827466074e+02 -5.294627523027290863e+02 -5.295115283007722837e+02 -5.294996378752431383e+02 -5.294632913796685898e+02 -5.295115282410827149e+02 -5.294996378752431383e+02 -5.294632913796685898e+02 -5.294698313504367206e+02 -5.294677006978836289e+02
3.467654549999999780e+00 -5.295459120891509883e+02 -5.294997667609895871e+02 -5.294722919064179223e+02 -5.294767395088658759e+02 -5.295177716760633757e+02 -5.295005411507428335e+02 -5.294646916002570833e+02 -5.295177716760633757e+02 -5.295005411511440343e+02 -5.294646916002570833e+02 -5.294723708993719811e+02 -5.294682464932300263e+02 -5.299486587088003944e+02 -5.295408468171282266e+02 -5.294708912380797301e+02 -5.294956534019028140e+02 -5.294635378252680766e+02 -5.295123190652263929e+02 -5.294998777035749526e+02 -5.294640268776652192e+02 -5.295123190652263929e+02 -5.294998777035749526e+02 -5.294640268776652192e+02 -5.294706191144898639e+02 -5.294684884220275762e+02
3.477103200000000172e+00 -5.295461582328495069e+02 -5.294999296362243513e+02 -5.294730640712734839e+02 -5.294775046495801689e+02 -5.295185489598966342e+02 -5.295007755786734833e+02 -5.294654107373606848e+02 -5.295185489606990359e+02 -5.295007755786734833e+02 -5.294654107373606848e+02 -5.294731432235157627e+02 -5.294690190165713375e+02 -5.299494565794460641e+02 -5.295410937600245234e+02 -5.294716639618222871e+02 -5.294958111605669728e+02 -5.294643084066942720e+02 -5.295130952292795428e+02 -5.295001117907936532e+02 -5.294647476159723283e+02 -5.295130952292795428e+02 -5.295001117907936532e+02 -5.294647476159723283e+02 -5.294713920975208339e+02 -5.294692610856795909e+02
3.486551849999999675e+00 -5.295463994947235733e+02 -5.295000875106568401e+02 -5.294738215950162612e+02 -5.294782547902946135e+02 -5.295193117243511551e+02 -5.295010045247793187e+02 -5.294661155341534595e+02 -5.295193117251535568e+02 -5.295010045247793187e+02 -5.294661155341534595e+02 -5.294739008468573047e+02 -5.294697767399127315e+02 -5.299502399908035386e+02 -5.295413357614063443e+02 -5.294724219847627182e+02 -5.294959637188302395e+02 -5.294650642873177731e+02 -5.295138572526211647e+02 -5.295003402768088563e+02 -5.294654540131664362e+02 -5.295138572526211647e+02 -5.295003402768088563e+02 -5.294654540131664362e+02 -5.294721503200598818e+02 -5.294700191090208818e+02
3.496000500000000066e+00 -5.295466356965067689e+02 -5.295002405846880720e+02 -5.294745647776458100e+02 -5.294789900705170567e+02 -5.295200607484948705e+02 -5.295012279103932542e+02 -5.294668061704546744e+02 -5.295200607484948705e+02 -5.295012279103932542e+02 -5.294668061704546744e+02 -5.294746441294870465e+02 -5.294705199628531318e+02 -5.299510094013585331e+02 -5.295415729216755381e+02 -5.294731656669912354e+02 -5.294961112363814664e+02 -5.294658055683427165e+02 -5.295146051759626289e+02 -5.295005631628241645e+02 -5.294661463099595267e+02 -5.295146051759626289e+02 -5.295005631628241645e+02 -5.294661463099595267e+02 -5.294728941022884783e+02 -5.294707626315598645e+02
3.505449150000000014e+00 -5.295468671571771893e+02 -5.295003890180075814e+02 -5.294752937001849205e+02 -5.294797110096264987e+02 -5.295207959714352910e+02 -5.295014458952049381e+02 -5.294674831253322509e+02 -5.295207959714352910e+02 -5.295014458956061389e+02 -5.294674831253322509e+02 -5.294753730524273578e+02 -5.294712490849908590e+02 -5.299517650712018622e+02 -5.295418051815436229e+02 -5.294738949298406396e+02 -5.294962539527293757e+02 -5.294665327078535029e+02 -5.295153393981004228e+02 -5.295007806476357928e+02 -5.294668246466616210e+02 -5.295153394976991876e+02 -5.295007806476357928e+02 -5.294668246466616210e+02 -5.294736236244261818e+02 -5.294714921133872849e+02
3.514897799999999961e+00 -5.295470939767344589e+02 -5.295005328912363893e+02 -5.294760087820121726e+02 -5.294804177076230189e+02 -5.295215178532623668e+02 -5.295016586393047646e+02 -5.294681463205204182e+02 -5.295215178532623668e+02 -5.295016586393047646e+02 -5.294681463205204182e+02 -5.294760880745652685e+02 -5.294719642668183042e+02 -5.299525069813556684e+02 -5.295420327998973562e+02 -5.294746104116679817e+02 -5.294963918283651765e+02 -5.294672456880761047e+02 -5.295160601198371069e+02 -5.295009929510238180e+02 -5.294674894426523224e+02 -5.295160601198371069e+02 -5.295009929510238180e+02 -5.294674894426523224e+02 -5.294743393054511671e+02 -5.294722075351239710e+02
3.524346449999999908e+00 -5.295473161950882286e+02 -5.295006723237532924e+02 -5.294767100638395050e+02 -5.294811102459302674e+02 -5.295222263754003507e+02 -5.295018663418904907e+02 -5.294687962749967483e+02 -5.295222263754003507e+02 -5.295018663418904907e+02 -5.294687962749967483e+02 -5.294767894559912520e+02 -5.294726658474419310e+02 -5.299532356511989519e+02 -5.295422556581603430e+02 -5.294753123519811879e+02 -5.294965251027975910e+02 -5.294679448674960440e+02 -5.295167674415738475e+02 -5.295011998346317341e+02 -5.294681408975300201e+02 -5.295167674415738475e+02 -5.295011998346317341e+02 -5.294681408975300201e+02 -5.294750411271877510e+02 -5.294729093161488436e+02
3.533795099999999856e+00 -5.295475338130409000e+02 -5.295008076554679519e+02 -5.294773979444632914e+02 -5.294817889834350808e+02 -5.295229219564250798e+02 -5.295020688843853804e+02 -5.294694329693825239e+02 -5.295229219564250798e+02 -5.295020688843853804e+02 -5.294694329693825239e+02 -5.294774774963043456e+02 -5.294733537687773151e+02 -5.299539512202397873e+02 -5.295424739757118004e+02 -5.294760005733166963e+02 -5.294966537772301081e+02 -5.294686307062045216e+02 -5.295174618221974470e+02 -5.295014018368162851e+02 -5.294687790931193376e+02 -5.295174618221974470e+02 -5.295014018368162851e+02 -5.294687790931193376e+02 -5.294757296074101305e+02 -5.294735975370831511e+02
3.543243749999999803e+00 -5.295477470301909761e+02 -5.295009388468720317e+02 -5.294780726847761798e+02 -5.294824541798266182e+02 -5.295236046777606589e+02 -5.295022665853662147e+02 -5.294700568230565523e+02 -5.295236046777606589e+02 -5.295022665853662147e+02 -5.294700568230565523e+02 -5.294781521769281198e+02 -5.294740287082880741e+02 -5.299546537295910866e+02 -5.295426878920594618e+02 -5.294766758128273523e+02 -5.294967780504587154e+02 -5.294693031445115139e+02 -5.295181434024198097e+02 -5.295015989974865533e+02 -5.294694045471944719e+02 -5.295181434024198097e+02 -5.295015989974865533e+02 -5.294694045471944719e+02 -5.294764049473221803e+02 -5.294742726173055871e+02
