R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
4.05	-529.5594416	-529.5113026	-529.5053507	-529.5012664	-529.5597056	-529.5042458	-529.4977977	-529.5597056	-529.5042458	-529.4977977	-529.505431	-529.5013338	-529.9867066	-529.5537806	-529.5039931	-529.5010807	-529.4914405	-529.5536002	-529.503013	-529.4975489	-529.5536002	-529.503013	-529.4975489	-529.5037394	-529.501596
4	-529.5593602	-529.5112862	-529.505369	-529.5010732	-529.5596385	-529.5042395	-529.497632	-529.5596385	-529.5042396	-529.497632	-529.5054493	-529.5013527	-529.986711	-529.5537032	-529.5040117	-529.5009953	-529.4913613	-529.5535283	-529.5030248	-529.4973641	-529.5535283	-529.5030248	-529.4973642	-529.5037581	-529.501615
3.95	-529.5592737	-529.5112711	-529.5053884	-529.5008744	-529.559566	-529.5042354	-529.497462	-529.559566	-529.5042354	-529.497462	-529.5054688	-529.5013726	-529.9867156	-529.5536214	-529.5040311	-529.5009105	-529.4912814	-529.553452	-529.5030385	-529.4971755	-529.553452	-529.5030385	-529.4971755	-529.5037779	-529.5016352
3.9	-529.5591821	-529.5112574	-529.5054089	-529.5006706	-529.5594887	-529.5042334	-529.4972881	-529.5594887	-529.5042334	-529.4972881	-529.5054895	-529.5013938	-529.9867202	-529.5535348	-529.504052	-529.5008261	-529.4912017	-529.5533702	-529.5030542	-529.4969839	-529.5533702	-529.5030542	-529.4969839	-529.5037989	-529.5016566
3.85	-529.5590842	-529.511245	-529.5054301	-529.5004601	-529.5594064	-529.5042339	-529.4971113	-529.5594064	-529.5042339	-529.4971113	-529.5055115	-529.5014162	-529.9867247	-529.5534426	-529.5040733	-529.500743	-529.4911224	-529.5532848	-529.5030719	-529.4967889	-529.5532848	-529.5030719	-529.4967889	-529.5038211	-529.5016792
3.8	-529.5589817	-529.5112345	-529.5054531	-529.5002476	-529.5593188	-529.504237	-529.4969311	-529.5593188	-529.504237	-529.4969311	-529.5055347	-529.5014398	-529.9867294	-529.5533477	-529.5040976	-529.5006614	-529.4910439	-529.5531945	-529.5030917	-529.4965917	-529.5531945	-529.5030917	-529.4965917	-529.5038446	-529.5017031
3.75	-529.5588735	-529.5112256	-529.5054775	-529.5000319	-529.5592258	-529.5042428	-529.4967487	-529.5592258	-529.5042428	-529.4967487	-529.5055593	-529.5014648	-529.986734	-529.5532469	-529.5041222	-529.50058	-529.4909659	-529.5530993	-529.5031139	-529.4963928	-529.5530993	-529.5031139	-529.4963928	-529.5038689	-529.5017274
3.7	-529.5587596	-529.5112186	-529.5055031	-529.4998137	-529.5591272	-529.5042514	-529.4965641	-529.5591272	-529.5042514	-529.4965647	-529.5055852	-529.5014911	-529.9867383	-529.5531414	-529.5041483	-529.5005008	-529.490891	-529.5529989	-529.5031385	-529.496193	-529.5529989	-529.5031385	-529.496193	-529.5038951	-529.501754
3.65	-529.5586404	-529.5112146	-529.505531	-529.4995943	-529.5590226	-529.504263	-529.4963793	-529.5590226	-529.504263	-529.4963793	-529.5056124	-529.5015188	-529.9867423	-529.5530309	-529.5041755	-529.5004234	-529.4908189	-529.5528932	-529.5031656	-529.4959946	-529.5528932	-529.5031656	-529.4959946	-529.5039226	-529.5017819
3.6	-529.5585148	-529.5112115	-529.5055593	-529.4993743	-529.5589119	-529.5042778	-529.4961945	-529.5589119	-529.5042778	-529.4961945	-529.505641	-529.5015478	-529.9867455	-529.5529156	-529.5042041	-529.5003485	-529.4907505	-529.5527821	-529.5031955	-529.4957954	-529.5527821	-529.5031955	-529.4957954	-529.5039514	-529.5018111
