E	J	d1	d2
40	6	1.4923324272412626	0.10346409622787739
40	7	1.3379575406261655	0.06384594956178717
40	8	1.1643482687058466	0.018575381569813983
40	9	0.9730991836122123	-0.032397038355179424
40	10	0.765206868562115	-0.08896694440079925
40	11	0.5397000446320495	-0.1511823221786065
40	12	0.29337969893744686	-0.2190422861886563
40	13	0.02119094974692159	-0.292563760753252
40	14	-0.28101771360403	-0.3717546223400387
40	15	-0.6122152411672727	-0.4565482210499838
40	16	-0.9640521043838615	-0.5469311322326152
40	17	-1.3263430779088692	-0.6421696250641584
40	18	1.4468856487111943	-0.7435546415239098
40	19	1.0599709634777346	-0.850561876017683
40	20	0.6382400398096069	-0.9631435363755844
40	21	0.1801424126713777	-1.081316193695494
40	22	-0.2918881574681207	-1.2051060912953528
40	23	-0.7605357146823393	-1.3344585884498632
40	24	-1.241279858443645	-1.4692388970468635
40	25	1.3788560673977612	1.5325402388510954
40	26	0.8235056338088642	1.3868233210800263
40	27	0.27413000244325514	1.2355235270160225
40	28	-0.27248455494926643	1.078521227484224
40	29	-0.8585010426121951	0.9168878651691936
40	30	-1.4794995378260543	0.7493445695082351
45	0	0.5008115261814864	-0.30852873908590944
45	1	0.47903467652514536	-0.3143419405726906
45	2	0.43541269912548886	-0.3259808122635772
45	3	0.3700388561117727	-0.34354759982123473
45	4	0.28265557262670427	-0.36693547934437
45	5	0.17380669200481103	-0.39629749979249473
45	6	0.04355755961563023	-0.43143481977788206
45	7	-0.10736241697994801	-0.4722081417575263
45	8	-0.2763711227840532	-0.5190263438895749
45	9	-0.4625217541373972	-0.571669579607845
45	10	-0.6649775857140949	-0.6302103479191399
45	11	-0.8845833712613341	-0.6944652157584946
45	12	-1.1243508041136225	-0.7645132688047885
45	13	-1.3893081787344452	-0.8402844814121675
45	14	1.4576486984705628	-0.9219736952582441
45	15	1.1334713158893286	-1.0093447396661381
45	16	0.7880709899666286	-1.1025659764819975
45	17	0.4329398675389114	-1.2016198518303811
45	18	0.07197618663440267	-1.3064375197522717
45	19	-0.30422597385847283	-1.417008998919452
45	20	-0.7123184277194586	-1.5333240520423894
45	21	-1.1589172581881584	1.4862187250510268
45	22	1.5156040874871841	1.3584381600246278
45	23	1.0511263222676983	1.2249501444614885
45	24	0.582508232734516	1.085705412200088
45	25	0.08000825896126433	0.9407634401148995
45	26	-0.46467449473429784	0.7900687665928268
45	27	-1.0166176702010412	0.6340038254541615
45	28	-1.5559305331127327	0.472511120761275
45	29	1.0217572092596776	0.3050988408881334
45	30	0.4094973055855875	0.13203364893329886
50	0	-0.867411621827383	-0.6379420933853692
50	1	-0.8888077441161095	-0.6440016612949754
50	2	-0.9314277942895914	-0.6561553871531935
50	3	-0.9952927410015134	-0.6743518529995582
50	4	-1.0800973374252767	-0.6985839181855538
50	5	-1.1850947464205777	-0.7288952940444234
50	6	-1.309337479862719	-0.765314088718514
50	7	-1.452008685267307	-0.8077495492805339
50	8	1.5296583330045461	-0.8563754529466907
50	9	1.3526604708323924	-0.9110943497636119
50	10	1.157845258898713	-0.9716595036047992
50	11	0.9432360756269373	-1.0381932071809923
50	12	0.7047980965227262	-1.1107856775574894
50	13	0.43874490185406945	-1.1893969823605897
50	14	0.1439574735006242	-1.2740089124325051
50	15	-0.17479090734932043	-1.3646278051233696
50	16	-0.5079138928635574	-1.4612345792143253
50	17	-0.8479050063547967	-1.563822459572493
50	18	-1.197157439205323	1.4691762472573557
50	19	-1.5681735545389375	1.3546704481097946
50	20	1.1666964362055003	1.2342311715369227
50	21	0.7257410435901097	1.1077967125678778
50	22	0.27200191973235566	0.9755111962885064
50	23	-0.1781048221204033	0.8372152848206017
50	24	-0.637767172841258	0.6931303371169769
50	25	-1.135587490597034	0.5432643360477868
50	26	1.4677290818296171	0.3877034621984248
50	27	0.9285786251387491	0.22609309137318526
50	28	0.40025423322773557	0.05861739030536245
50	29	-0.15657667010483722	-0.11466919569862137
50	30	-0.7619579842178678	-0.2937537568881239
55	0	0.9918034130143049	-0.7444210237623822
55	1	0.9718282844967869	-0.7507222088308315
55	2	0.9320167346564823	-0.7633282510841896
55	3	0.8727076119648202	-0.7822326478136495
55	4	0.7943628253204845	-0.8074316153980273
55	5	0.6974219854242554	-0.8389283162361623
55	6	0.5822687683299267	-0.8767176338949301
55	7	0.4488159636458754	-0.9207994703295027
55	8	0.2966501479113477	-0.9711603019558103
55	9	0.12431894192494837	-1.0277973652222103
55	10	-0.07062938218719858	-1.0907059743852021
55	11	-0.29045590587544545	-1.1598774854270661
55	12	-0.5371518139563292	-1.2353023335421396
55	13	-0.8086678545364447	-1.3169738664446293
55	14	-1.0996469217166633	-1.4048794606327542
55	15	-1.4023678120864451	-1.4990100946583114
55	16	1.4287169182970074	1.5420627715575093
55	17	1.1061534513577718	1.4353704817551796
55	18	0.7613099053415799	1.3226616360899586
55	19	0.3824540728120645	1.2037337799580055
55	20	-0.030617506888528382	1.078698980435246
55	21	-0.46008881011874886	0.947511926264172
55	22	-0.8880495860231248	0.8101607214248355
55	23	-1.3202197889404212	0.6667086895858716
55	24	1.3593490693473191	0.5171627978424631
55	25	0.8533544883086592	0.3614609929930134
55	26	0.32849922730170567	0.19974094406438625
55	27	-0.18491636501805364	0.03193196593489863
55	28	-0.7041606359551962	-0.1418964872714322
55	29	-1.2682592742893761	-0.32175526341034066
55	30	1.2743342622385596	-0.5075550608572853
60	0	-0.1800067608715665	-0.6004334829087272
60	1	-0.19864068281113775	-0.6070029964895287
60	2	-0.2359247611603323	-0.6201411912911893
60	3	-0.29195389659511417	-0.6398462206917044
60	4	-0.36705126824225603	-0.6661383534265456
60	5	-0.4616973355750143	-0.6990370592363623
60	6	-0.5765135200373543	-0.7384734694296815
60	7	-0.7126107380139706	-0.7843896503333562
60	8	-0.8710282669358517	-0.8369461980074846
60	9	-1.0529165786509425	-0.8959513397625355
60	10	-1.2579698602179166	-0.961511093089213
60	11	-1.4844918820764814	-1.0335167327902388
60	12	1.4136530276285393	-1.1120691690278584
60	13	1.1575775079059467	-1.1971473785511664
60	14	0.8911480333473927	-1.288713465232077
60	15	0.6120278402511133	-1.3867652040057648
60	16	0.31265674090142986	-1.4913024713094116
60	17	-0.015864841464100894	1.5393104918166505
60	18	-0.3781894336053119	1.4218780875434116
60	19	-0.7663733105603001	1.298017389117636
60	20	-1.1625738471181828	1.167744840254874
60	21	-1.5579700726781176	1.0310773079752018
60	22	1.177462882805703	0.8880326452017491
60	23	0.73794174782785	0.7385919526207537
60	24	0.25732410526692456	0.5826891775007711
60	25	-0.2412935087092663	0.42060004625054925
60	26	-0.7308241135027452	0.2522439180896562
60	27	-1.2237675481992554	0.07762547047119225
60	28	1.3840198380675668	-0.10330232534259219
60	29	0.8085107886778935	-0.29041631428576425
60	30	0.2389318319367679	-0.4838076213490112
65	0	-1.297329376764974	-0.17290408817913855
65	1	-1.317336217160785	-0.17976576622910745
65	2	-1.3574565215824521	-0.19348943675380015
65	3	-1.417857266990263	-0.21407906940756147
65	4	-1.4987160211046986	-0.24153831094400305
65	5	1.5414861868039267	-0.27587579185198297
65	6	1.4199570781973672	-0.3171269543574777
65	7	1.2784295371314023	-0.36514022515328237
65	8	1.1189153104808829	-0.4200023670045248
65	9	0.9430346145523686	-0.48174398616644076
65	10	0.7525054878321489	-0.5502997238389502
65	11	0.548565680707074	-0.6256708002434291
65	12	0.32898720090311867	-0.7078665562810397
65	13	0.09141642877871528	-0.7968543890796087
65	14	-0.17071385659222674	-0.8926286813638981
65	15	-0.4609814089089369	-0.9952162412883456
65	16	-0.7816808263600787	-1.104488371909092
65	17	-1.1225872332294875	-1.2206744941391987
65	18	-1.474818966749739	-1.343385562666215
65	19	1.3122782220090468	-1.4728737630562652
65	20	0.9488712454362195	1.5325705608361317
65	21	0.5598062345261062	1.3897764951483789
65	22	0.1308045440140136	1.2402917976580308
65	23	-0.3286516710582303	1.0841651198287263
65	24	-0.7905935011482085	0.9214216110157037
65	25	-1.2451673494380227	0.7520858299982994
65	26	1.4245487620226744	0.5761840091261652
65	27	0.9068445771391179	0.3937360644149669
65	28	0.35603275787210764	0.2047691908937836
65	29	-0.183883534259406	0.009156223141886773
65	30	-0.7164855941030849	-0.19277712178679451
70	0	0.7361340267519214	0.5797993705098321
70	1	0.7174059091623466	0.5725769080009583
70	2	0.6800988396184269	0.5581335199607447
70	3	0.6244937798846711	0.5364719580472146
70	4	0.5509665364446822	0.5075959699064957
70	5	0.4599835743743156	0.47151335569588004
70	6	0.3519155499217834	0.42822666622383787
70	7	0.2263703416705302	0.3777375376623876
70	8	0.08268130406630288	0.3200573584378986
70	9	-0.08009980357123288	0.2551971734578538
