 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME14           NACME15           NACME23           NACME24       NACME25           NACME34           NACME35           NACME45
     5.00   -0.03717298   -1.45390151E-13    3.00530532E-04    1.64529403E-04   -8.28219446E-11   -6.66210254E-04    0.00771628   -3.80150717E-10   -2.57713855E-10   -9.25362771E-02
     5.10   -0.03726129    2.38984152E-15    4.94041065E-04    3.22065398E-04   -9.76337717E-11    1.45101699E-03    0.00893314   -1.03748567E-10    2.19792110E-10   -8.63676865E-02
     5.20   -0.03732825    1.72851356E-13    6.47868732E-04    4.42880214E-04    3.60423298E-10    3.42639390E-03    0.01004804    4.20128587E-11   -1.57455574E-10   -8.03969949E-02
     5.30   -0.03737778   -4.58731191E-14    7.66852659E-04    5.32886026E-04    9.62558559E-11    5.25972815E-03    0.01106405   -7.99642589E-11   -5.90636992E-11   -7.46577260E-02
     5.40   -0.03741321    1.08135343E-13    8.55595377E-04    5.97278998E-04    5.12910994E-12    6.95304710E-03    0.01198563    3.32481631E-09   -2.26812582E-13   -6.91738269E-02
     5.50   -0.03743736   -2.33440343E-15    9.18383175E-04    6.40567483E-04    9.53972390E-11    8.51016807E-03    0.01281812   -5.62480986E-10   -3.72749106E-10   -6.39612249E-02
     5.60   -0.03745255    1.22578625E-13    9.59138900E-04    6.66627511E-04    8.49652140E-11    9.93629051E-03    0.01356744    1.23529177E-10   -7.34248666E-12   -5.90291805E-02
     5.70   -0.03746072   -1.59085570E-13    9.81396807E-04    6.78759475E-04    1.13868530E-13    1.12376463E-02    0.01423977   -1.57187543E-09   -1.50783523E-11   -5.43814627E-02
     5.80   -0.03746346   -3.35893763E-14    9.88304318E-04    6.79752181E-04   -9.14648304E-11    1.24211690E-02    0.01484133    6.52438778E-10   -1.78096036E-12   -5.00174174E-02
     5.90   -0.03746208    1.43394427E-13    9.82630447E-04    6.71947791E-04   -9.16138158E-11    1.34942183E-02    0.01537822    3.35097369E-09   -1.32599016E-12   -4.59328417E-02
