E, K	sigma(1s5_2), cm2	sigma(1s5_1), cm2	sigma(1s5_0), cm2	sigma(1s4_1), cm2	sigma(1s4_0), cm2	sigma(1s3_0), cm2	sigma(1s2_1), cm2	sigma(1s2_0), cm2
4,180281E+02	1,818574E-14	1,882807E-14	1,904426E-14	1,881579E-14	1,916543E-14	1,861539E-14	2,023404E-14	2,000753E-14
4,377292E+02	1,813237E-14	1,877547E-14	1,899113E-14	1,876282E-14	1,911228E-14	1,856390E-14	2,017362E-14	1,994756E-14
4,583587E+02	1,808329E-14	1,872652E-14	1,894135E-14	1,871215E-14	1,906059E-14	1,851474E-14	2,011686E-14	1,988960E-14
4,799605E+02	1,802795E-14	1,867219E-14	1,888654E-14	1,865605E-14	1,900556E-14	1,846065E-14	2,005554E-14	1,982803E-14
5,025803E+02	1,797749E-14	1,862048E-14	1,883527E-14	1,860279E-14	1,895192E-14	1,840905E-14	1,999607E-14	1,976914E-14
5,262662E+02	1,792866E-14	1,856871E-14	1,878228E-14	1,854907E-14	1,889729E-14	1,835711E-14	1,993643E-14	1,970836E-14
5,510684E+02	1,787555E-14	1,851307E-14	1,872589E-14	1,849302E-14	1,884061E-14	1,830305E-14	1,987245E-14	1,964588E-14
5,770394E+02	1,782623E-14	1,846071E-14	1,867314E-14	1,844070E-14	1,878564E-14	1,825217E-14	1,981060E-14	1,958489E-14
6,042345E+02	1,777604E-14	1,840806E-14	1,861963E-14	1,838775E-14	1,873041E-14	1,820072E-14	1,974810E-14	1,952271E-14
6,327112E+02	1,772444E-14	1,835486E-14	1,856560E-14	1,833347E-14	1,867478E-14	1,814821E-14	1,968528E-14	1,946026E-14
6,625299E+02	1,766857E-14	1,829894E-14	1,850802E-14	1,827511E-14	1,861745E-14	1,809245E-14	1,962114E-14	1,939564E-14
6,937540E+02	1,761528E-14	1,824406E-14	1,845242E-14	1,821879E-14	1,856040E-14	1,803814E-14	1,955783E-14	1,933196E-14
7,264496E+02	1,756231E-14	1,818849E-14	1,839635E-14	1,816217E-14	1,850274E-14	1,798333E-14	1,949380E-14	1,926780E-14
7,606861E+02	1,750948E-14	1,813265E-14	1,833977E-14	1,810554E-14	1,844456E-14	1,792820E-14	1,942927E-14	1,920346E-14
7,965362E+02	1,745585E-14	1,807664E-14	1,828280E-14	1,804899E-14	1,838588E-14	1,787342E-14	1,936377E-14	1,913870E-14
8,340758E+02	1,740260E-14	1,802167E-14	1,822632E-14	1,799385E-14	1,832873E-14	1,782017E-14	1,930078E-14	1,907434E-14
8,733845E+02	1,734737E-14	1,796489E-14	1,816879E-14	1,793507E-14	1,826957E-14	1,776370E-14	1,923519E-14	1,900786E-14
9,145459E+02	1,729196E-14	1,790741E-14	1,811066E-14	1,787537E-14	1,820959E-14	1,770590E-14	1,916790E-14	1,894197E-14
9,576471E+02	1,723621E-14	1,784848E-14	1,805204E-14	1,781632E-14	1,814861E-14	1,764887E-14	1,910057E-14	1,887594E-14
1,002780E+03	1,717950E-14	1,779053E-14	1,799191E-14	1,775691E-14	1,808853E-14	1,759173E-14	1,903292E-14	1,880888E-14
1,050039E+03	1,712469E-14	1,773209E-14	1,793396E-14	1,769782E-14	1,802776E-14	1,753447E-14	1,896476E-14	1,874165E-14
1,099526E+03	1,706719E-14	1,767346E-14	1,787333E-14	1,763746E-14	1,796673E-14	1,747638E-14	1,889637E-14	1,867367E-14
1,151345E+03	1,701064E-14	1,761429E-14	1,781333E-14	1,757761E-14	1,790527E-14	1,741823E-14	1,882769E-14	1,860652E-14
