E, cm-1	Sigma_00, cm2	
1.0623399302e+05	2.6728466015e-14
1.0625708507e+05	2.6758457532e-14
1.0628071499e+05	2.6789820273e-14
1.0630489533e+05	2.6523027685e-14
1.0632963890e+05	2.6542447578e-14
1.0635495882e+05	2.6560832966e-14
1.0638086852e+05	2.6443502600e-14
1.0640738174e+05	2.6460392341e-14
1.0643451252e+05	2.6335070884e-14
1.0646227527e+05	2.6335430001e-14
1.0649068469e+05	2.6335436734e-14
1.0651975585e+05	2.6339003417e-14
1.0654950417e+05	2.6345692499e-14
1.0657994541e+05	2.6221668962e-14
1.0661109572e+05	2.6215412007e-14
1.0664297161e+05	2.6069722890e-14
1.0667558999e+05	2.6045640925e-14
1.0670896815e+05	2.6021120661e-14
1.0674312379e+05	2.6002302591e-14
1.0677807501e+05	2.5990389393e-14
1.0681384035e+05	2.5861374490e-14
1.0685043878e+05	2.5968857418e-14
1.0688788969e+05	2.5829667164e-14
1.0692621294e+05	2.5910581156e-14
1.0696542886e+05	2.5750443491e-14
1.0700555823e+05	2.5697394132e-14
1.0704662234e+05	2.5643501295e-14
1.0708864295e+05	2.5593765113e-14
1.0713164235e+05	2.5551585726e-14
1.0717564333e+05	2.5627150987e-14
1.0722066923e+05	2.5489663038e-14
1.0726674391e+05	2.5571368914e-14
1.0731389182e+05	2.5430143955e-14
1.0736213794e+05	2.5496733265e-14
1.0741150785e+05	2.5441806693e-14
1.0746202774e+05	2.5373743186e-14
1.0751372439e+05	2.5294021655e-14
1.0756662520e+05	2.5206308214e-14
1.0762075824e+05	2.5214275365e-14
1.0767615219e+05	2.5122484423e-14
1.0773283644e+05	2.5133418127e-14
1.0779084103e+05	2.5054452079e-14
1.0785019672e+05	2.4984161118e-14
1.0791093499e+05	2.5020547711e-14
1.0797308803e+05	2.4965733869e-14
1.0803668880e+05	2.5011357426e-14
1.0810177102e+05	2.4960279698e-14
1.0816836921e+05	2.4906813117e-14
1.0823651866e+05	2.5029192649e-14
1.0830625552e+05	2.4955364645e-14
1.0837761676e+05	2.4870815911e-14
1.0845064021e+05	2.4859777325e-14
1.0852536460e+05	2.4833985808e-14
1.0860182955e+05	2.4709888857e-14
1.0868007559e+05	2.4661877614e-14
1.0876014422e+05	2.4607104917e-14
1.0884207788e+05	2.4464202202e-14
1.0892592002e+05	2.4491872501e-14
1.0901171510e+05	2.4438544494e-14
1.0909950861e+05	2.4310487754e-14
