E, cm-1	Sigma_00, cm2	
1.0525166143e+05	3.7963224543e-14
1.0525176612e+05	3.7946041315e-14
1.0525187203e+05	3.7930688271e-14
1.0525197916e+05	3.7916997535e-14
1.0525208754e+05	3.7904750783e-14
1.0525219717e+05	3.7893679218e-14
1.0525230807e+05	3.7883464172e-14
1.0525242025e+05	3.7873738308e-14
1.0525253373e+05	3.7864087438e-14
1.0525264853e+05	3.7854052908e-14
1.0525276465e+05	3.7843134561e-14
1.0525288212e+05	3.7830794219e-14
1.0525300095e+05	3.7816459654e-14
1.0525312116e+05	3.7811378652e-14
1.0525324275e+05	3.7782322246e-14
1.0525336576e+05	3.7755356521e-14
1.0525349019e+05	3.7730347238e-14
1.0525361606e+05	3.7707105281e-14
1.0525374339e+05	3.7685387225e-14
1.0525387219e+05	3.7664896664e-14
1.0525400249e+05	3.7645286278e-14
1.0525413429e+05	3.7626160602e-14
1.0525426762e+05	3.7607079461e-14
1.0525440249e+05	3.7686771115e-14
1.0525453893e+05	3.7638061503e-14
1.0525467694e+05	3.7591776422e-14
1.0525481655e+05	3.7547939985e-14
1.0525495778e+05	3.7506518147e-14
1.0525510065e+05	3.7467418214e-14
1.0525524517e+05	3.7430489300e-14
1.0525539136e+05	3.7395523707e-14
1.0525553924e+05	3.7362259196e-14
1.0525568884e+05	3.7330382097e-14
1.0525584017e+05	3.7499679215e-14
1.0525599325e+05	3.7432213336e-14
1.0525614811e+05	3.7367370361e-14
1.0525630476e+05	3.7305298693e-14
1.0525646322e+05	3.7246085681e-14
1.0525662352e+05	3.7189756386e-14
1.0525678567e+05	3.7136273502e-14
1.0525694970e+05	3.7085538413e-14
1.0525711563e+05	3.7037393338e-14
1.0525728348e+05	3.7310157838e-14
1.0525745328e+05	3.7224782165e-14
1.0525762504e+05	3.7142106462e-14
1.0525779879e+05	3.7062424077e-14
1.0525797455e+05	3.6985965401e-14
1.0525815235e+05	3.6912895132e-14
1.0525833220e+05	3.6843310961e-14
1.0525851414e+05	3.6777243671e-14
1.0525869819e+05	3.6714658595e-14
1.0525888436e+05	3.6655458364e-14
1.0525907270e+05	3.6599486830e-14
1.0525926321e+05	3.6546534045e-14
1.0525945593e+05	3.6496342133e-14
1.0525965088e+05	3.6448611871e-14
1.0525984809e+05	3.6403009799e-14
1.0526004758e+05	3.6359175604e-14
1.0526024938e+05	3.6316729582e-14
1.0526045352e+05	3.6373435381e-14
1.0526066002e+05	3.6305867975e-14
1.0526086892e+05	3.6242444188e-14
1.0526108023e+05	3.6183016902e-14
1.0526129399e+05	3.6127386877e-14
1.0526151022e+05	3.6075309991e-14
1.0526172896e+05	3.6026505014e-14
1.0526195023e+05	3.5980661643e-14
1.0526217407e+05	3.6112374345e-14
1.0526240049e+05	3.6038318825e-14
1.0526262954e+05	3.5969223104e-14
1.0526286124e+05	3.5905010799e-14
1.0526309562e+05	3.5845543335e-14
1.0526333272e+05	3.5790627393e-14
1.0526357256e+05	3.5740023120e-14
1.0526381518e+05	3.5967321678e-14
1.0526406061e+05	3.5886964674e-14
1.0526430888e+05	3.5812050762e-14
1.0526456002e+05	3.5742592686e-14
1.0526481408e+05	3.5678525189e-14
1.0526507107e+05	3.5619711959e-14
1.0526533104e+05	3.5565953896e-14
1.0526559403e+05	3.5516998342e-14
1.0526586005e+05	3.5786700504e-14
1.0526612916e+05	3.5709335073e-14
1.0526640138e+05	3.5637484171e-14
1.0526667676e+05	3.5571115578e-14
1.0526695532e+05	3.5510113532e-14
1.0526723711e+05	3.5454287361e-14
1.0526752216e+05	3.5403381577e-14
1.0526781052e+05	3.5357087005e-14
1.0526810221e+05	3.5315052463e-14
1.0526839728e+05	3.5276896545e-14
1.0526869577e+05	3.5242219031e-14
1.0526899771e+05	3.5210611487e-14
1.0526930315e+05	3.5181666664e-14
1.0526961213e+05	3.5329665076e-14
1.0526992468e+05	3.5279473559e-14
1.0527024085e+05	3.5233073176e-14
1.0527056069e+05	3.5190069039e-14
1.0527088423e+05	3.5150050093e-14
1.0527121151e+05	3.5112601694e-14
1.0527154258e+05	3.5077316945e-14
1.0527187749e+05	3.5258760665e-14
1.0527221628e+05	3.5201309032e-14
1.0527255899e+05	3.5146950003e-14
1.0527290566e+05	3.5095311780e-14
1.0527325636e+05	3.5046013703e-14
1.0527361111e+05	3.4998680011e-14
1.0527396997e+05	3.5221677797e-14
1.0527433298e+05	3.5151397728e-14
1.0527470020e+05	3.5083973150e-14
1.0527507167e+05	3.5019105719e-14
1.0527544745e+05	3.4956481451e-14
1.0527582757e+05	3.4895786140e-14
1.0527621210e+05	3.5145639938e-14
1.0527660107e+05	3.5062749484e-14
1.0527699456e+05	3.4982764556e-14
1.0527739259e+05	3.4905472623e-14
1.0527779524e+05	3.4830636784e-14
1.0527820255e+05	3.4758012238e-14
1.0527861458e+05	3.4687361955e-14
1.0527903138e+05	3.4618471068e-14
1.0527945300e+05	3.4551159587e-14
1.0527987951e+05	3.4485293080e-14
1.0528031095e+05	3.4420791013e-14
1.0528074739e+05	3.4591822827e-14
1.0528118889e+05	3.4513992956e-14
1.0528163549e+05	3.4438549611e-14
1.0528208727e+05	3.4365323542e-14
1.0528254428e+05	3.4294183752e-14
1.0528300658e+05	3.4225047725e-14
1.0528347424e+05	3.4417882016e-14
1.0528394731e+05	3.4338411149e-14
1.0528442585e+05	3.4261810437e-14
1.0528490994e+05	3.4187843957e-14
1.0528539964e+05	3.4116308822e-14
1.0528589500e+05	3.4339399942e-14
1.0528639610e+05	3.4259079513e-14
1.0528690301e+05	3.4181881744e-14
1.0528741578e+05	3.4107429884e-14
1.0528793449e+05	3.4035369761e-14
1.0528845921e+05	3.4281540565e-14
1.0528899000e+05	3.4201387794e-14
1.0528952694e+05	3.4124067681e-14
1.0529007010e+05	3.4049069391e-14
1.0529061954e+05	3.3975903713e-14
1.0529117535e+05	3.3904129451e-14
1.0529173760e+05	3.3833378381e-14
1.0529230635e+05	3.3763377212e-14
1.0529288169e+05	3.3693964332e-14
1.0529346369e+05	3.3625098651e-14
1.0529405244e+05	3.3844904866e-14
1.0529464800e+05	3.3768437029e-14
1.0529525045e+05	3.3691684384e-14
1.0529585988e+05	3.3614495507e-14
1.0529647637e+05	3.3536873955e-14
1.0529710000e+05	3.3766002897e-14
1.0529773085e+05	3.3680843518e-14
1.0529836900e+05	3.3594653544e-14
1.0529901454e+05	3.3507392931e-14
1.0529966756e+05	3.3745473477e-14
1.0530032814e+05	3.3651906884e-14
1.0530099637e+05	3.3557271674e-14
1.0530167234e+05	3.3461508389e-14
1.0530235613e+05	3.3364746594e-14
1.0530304784e+05	3.3603163898e-14
1.0530374756e+05	3.3502260468e-14
1.0530445539e+05	3.3400697503e-14
1.0530517141e+05	3.3298547015e-14
1.0530589572e+05	3.3196069107e-14
1.0530662842e+05	3.3093716721e-14
1.0530736960e+05	3.2992120250e-14
1.0530811937e+05	3.2892050161e-14
1.0530887781e+05	3.3125763030e-14
1.0530964504e+05	3.3022479746e-14
1.0531042116e+05	3.2920041607e-14
1.0531120626e+05	3.2819071416e-14
1.0531200045e+05	3.3064598386e-14
1.0531280384e+05	3.2962683392e-14
1.0531361653e+05	3.2861253963e-14
1.0531443863e+05	3.2760723839e-14
1.0531527025e+05	3.3014325087e-14
1.0531611150e+05	3.2913547094e-14
1.0531696249e+05	3.2812331293e-14
1.0531782333e+05	3.2710912674e-14
1.0531869415e+05	3.2967459395e-14
1.0531957504e+05	3.2865178398e-14
1.0532046614e+05	3.2761221054e-14
1.0532136756e+05	3.2655783192e-14
1.0532227941e+05	3.2549325410e-14
1.0532320182e+05	3.2442524296e-14
1.0532413492e+05	3.2336195635e-14
1.0532507882e+05	3.2231202180e-14
1.0532603364e+05	3.2466836836e-14
1.0532699953e+05	3.2352322865e-14
1.0532797660e+05	3.2238159415e-14
1.0532896498e+05	3.2125485725e-14
1.0532996481e+05	3.2359265314e-14
1.0533097621e+05	3.2239033586e-14
1.0533199933e+05	3.2119941740e-14
1.0533303429e+05	3.2359365940e-14
1.0533408124e+05	3.2236946120e-14
1.0533514031e+05	3.2115462300e-14
1.0533621165e+05	3.1996233546e-14
1.0533729539e+05	3.2236958449e-14
1.0533839168e+05	3.2116527769e-14
1.0533950066e+05	3.1997798832e-14
1.0534062249e+05	3.1881904088e-14
1.0534175730e+05	3.1769855706e-14
1.0534290526e+05	3.1662424583e-14
1.0534406651e+05	3.1560054497e-14
1.0534524120e+05	3.1779591203e-14
1.0534642950e+05	3.1669807059e-14
1.0534763156e+05	3.1563800664e-14
1.0534884753e+05	3.1790632058e-14
1.0535007759e+05	3.1676846478e-14
1.0535132189e+05	3.1565489088e-14
1.0535258060e+05	3.1794191005e-14
1.0535385388e+05	3.1675235316e-14
1.0535514191e+05	3.1557822068e-14
1.0535644485e+05	3.1442938866e-14
1.0535776288e+05	3.1661404057e-14
1.0535909617e+05	3.1539201521e-14
1.0536044490e+05	3.1419740464e-14
