State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	State8	Sigma8	State9	Sigma9	State10	Sigma10	
9.312903e+04	2.060263e-14	9.368530e+04	2.092588e-14	9.519974e+04	2.188837e-14	1.040646e+05	3.122637e-14	1.052837e+05	3.715876e-14	1.054409e+05	3.658394e-14	1.058599e+05	4.461605e-14	1.059938e+05	3.551661e-14	1.068375e+05	3.723429e-14	1.069761e+05	4.343934e-14	1.071690e+05	3.861702e-14
9.313122e+04	2.059038e-14	9.368749e+04	2.091083e-14	9.520193e+04	2.187128e-14	1.040668e+05	3.117730e-14	1.052859e+05	3.706815e-14	1.054431e+05	3.649457e-14	1.058621e+05	4.478839e-14	1.059960e+05	3.541309e-14	1.068397e+05	3.713768e-14	1.069783e+05	4.352529e-14	1.071712e+05	3.853624e-14
9.313350e+04	2.049979e-14	9.368977e+04	2.083336e-14	9.520421e+04	2.181382e-14	1.040691e+05	3.111647e-14	1.052882e+05	3.690064e-14	1.054454e+05	3.633905e-14	1.058644e+05	4.418146e-14	1.059983e+05	3.526153e-14	1.068420e+05	3.694509e-14	1.069806e+05	4.304870e-14	1.071735e+05	3.829517e-14
9.313590e+04	2.048236e-14	9.369217e+04	2.081384e-14	9.520661e+04	2.178687e-14	1.040715e+05	3.106345e-14	1.052906e+05	3.681447e-14	1.054478e+05	3.624911e-14	1.058668e+05	4.435404e-14	1.060006e+05	3.515756e-14	1.068444e+05	3.684633e-14	1.069830e+05	4.313526e-14	1.071759e+05	3.821227e-14
9.313841e+04	2.045646e-14	9.369468e+04	2.078803e-14	9.520912e+04	2.175344e-14	1.040740e+05	3.100871e-14	1.052931e+05	3.671410e-14	1.054503e+05	3.614649e-14	1.058693e+05	4.443702e-14	1.060032e+05	3.504547e-14	1.068469e+05	3.673151e-14	1.069855e+05	4.315439e-14	1.071784e+05	3.810715e-14
9.314104e+04	2.037335e-14	9.369731e+04	2.071577e-14	9.521175e+04	2.169517e-14	1.040766e+05	3.094300e-14	1.052957e+05	3.655390e-14	1.054529e+05	3.599538e-14	1.058719e+05	4.388353e-14	1.060058e+05	3.490047e-14	1.068496e+05	3.654661e-14	1.069881e+05	4.271737e-14	1.071810e+05	3.788007e-14
9.314379e+04	2.034890e-14	9.370006e+04	2.069250e-14	9.521450e+04	2.166551e-14	1.040794e+05	3.088317e-14	1.052985e+05	3.646052e-14	1.054557e+05	3.589699e-14	1.058747e+05	4.397812e-14	1.060085e+05	3.479176e-14	1.068523e+05	3.643613e-14	1.069909e+05	4.274435e-14	1.071838e+05	3.778008e-14
9.314667e+04	2.032025e-14	9.370294e+04	2.066651e-14	9.521738e+04	2.163756e-14	1.040822e+05	3.082185e-14	1.053014e+05	3.636040e-14	1.054585e+05	3.579061e-14	1.058776e+05	4.400957e-14	1.060114e+05	3.467741e-14	1.068552e+05	3.631738e-14	1.069937e+05	4.272243e-14	1.071867e+05	3.766806e-14
9.314969e+04	2.024292e-14	9.370596e+04	2.059977e-14	9.522040e+04	2.158730e-14	1.040853e+05	3.075042e-14	1.053044e+05	3.620765e-14	1.054616e+05	3.564244e-14	1.058806e+05	4.347458e-14	1.060144e+05	3.453194e-14	1.068582e+05	3.613252e-14	1.069968e+05	4.229933e-14	1.071897e+05	3.744879e-14
9.315284e+04	2.021445e-14	9.370911e+04	2.057141e-14	9.522355e+04	2.155884e-14	1.040884e+05	3.068504e-14	1.053075e+05	3.610805e-14	1.054647e+05	3.554173e-14	1.058837e+05	4.351983e-14	1.060176e+05	3.441819e-14	1.068614e+05	3.601271e-14	1.069999e+05	4.228797e-14	1.071928e+05	3.734026e-14
