State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	
9.312525e+04	2.089108e-14	9.444473e+04	2.051424e-14	1.040587e+05	3.139213e-14	1.052855e+05	3.323333e-14	1.058624e+05	3.823649e-14	1.068414e+05	4.321151e-14	1.071621e+05	4.212345e-14
9.312715e+04	2.089517e-14	9.444663e+04	2.052006e-14	1.040606e+05	3.133970e-14	1.052874e+05	3.316688e-14	1.058643e+05	3.955264e-14	1.068433e+05	4.337442e-14	1.071640e+05	4.221509e-14
9.312914e+04	2.080538e-14	9.444862e+04	2.041416e-14	1.040626e+05	3.128090e-14	1.052894e+05	3.308466e-14	1.058663e+05	4.007355e-14	1.068453e+05	4.285964e-14	1.071660e+05	4.179628e-14
9.313123e+04	2.080457e-14	9.445071e+04	2.041193e-14	1.040646e+05	3.123021e-14	1.052915e+05	3.301072e-14	1.058684e+05	4.133831e-14	1.068474e+05	4.301460e-14	1.071681e+05	4.188308e-14
9.313342e+04	2.079065e-14	9.445290e+04	2.039566e-14	1.040668e+05	3.118027e-14	1.052936e+05	3.293012e-14	1.058706e+05	4.245441e-14	1.068495e+05	4.307278e-14	1.071703e+05	4.189283e-14
9.313570e+04	2.070705e-14	9.445518e+04	2.029890e-14	1.040691e+05	3.111948e-14	1.052959e+05	3.285562e-14	1.058729e+05	4.304008e-14	1.068518e+05	4.263131e-14	1.071726e+05	4.153141e-14
9.313810e+04	2.068927e-14	9.445758e+04	2.027929e-14	1.040715e+05	3.106474e-14	1.052983e+05	3.279519e-14	1.058753e+05	4.411275e-14	1.068542e+05	4.269316e-14	1.071750e+05	4.154336e-14
9.314061e+04	2.066651e-14	9.446009e+04	2.025119e-14	1.040740e+05	3.100971e-14	1.053008e+05	3.272137e-14	1.058778e+05	4.507248e-14	1.068567e+05	4.269282e-14	1.071775e+05	4.150522e-14
9.314324e+04	2.058761e-14	9.446272e+04	2.016253e-14	1.040766e+05	3.094252e-14	1.053035e+05	3.264749e-14	1.058804e+05	4.558997e-14	1.068594e+05	4.228395e-14	1.071801e+05	4.116426e-14
9.314599e+04	2.056518e-14	9.446547e+04	2.013734e-14	1.040794e+05	3.088237e-14	1.053062e+05	3.257599e-14	1.058832e+05	4.642132e-14	1.068621e+05	4.228665e-14	1.071829e+05	4.112652e-14
9.314887e+04	2.053710e-14	9.446835e+04	2.010884e-14	1.040823e+05	3.081954e-14	1.053091e+05	3.250675e-14	1.058860e+05	4.711210e-14	1.068650e+05	4.224420e-14	1.071857e+05	4.105461e-14
9.315189e+04	2.046458e-14	9.447137e+04	2.002643e-14	1.040853e+05	3.074830e-14	1.053121e+05	3.243122e-14	1.058891e+05	4.738622e-14	1.068680e+05	4.184034e-14	1.071888e+05	4.071867e-14
9.315504e+04	2.043685e-14	9.447452e+04	1.999468e-14	1.040885e+05	3.068202e-14	1.053153e+05	3.235388e-14	1.058922e+05	4.787331e-14	1.068712e+05	4.180491e-14	1.071919e+05	4.065754e-14
9.315835e+04	2.040463e-14	9.447783e+04	1.996035e-14	1.040918e+05	3.061432e-14	1.053186e+05	3.228044e-14	1.058955e+05	4.822757e-14	1.068745e+05	4.173980e-14	1.071952e+05	4.057391e-14
9.316182e+04	2.037058e-14	9.448130e+04	1.992339e-14	1.040952e+05	3.054612e-14	1.053220e+05	3.219898e-14	1.058990e+05	4.845211e-14	1.068779e+05	4.165119e-14	1.071987e+05	4.047641e-14
9.316544e+04	2.030102e-14	9.448492e+04	1.984792e-14	1.040989e+05	3.046884e-14	1.053257e+05	3.211031e-14	1.059026e+05	4.834591e-14	1.068816e+05	4.128191e-14	1.072023e+05	4.017392e-14
9.316924e+04	2.026713e-14	9.448872e+04	1.981392e-14	1.041026e+05	3.039619e-14	1.053295e+05	3.202304e-14	1.059064e+05	4.837933e-14	1.068854e+05	4.120965e-14	1.072061e+05	4.008773e-14
9.317322e+04	2.023135e-14	9.449270e+04	1.977711e-14	1.041066e+05	3.032191e-14	1.053334e+05	3.192705e-14	1.059104e+05	4.830881e-14	1.068893e+05	4.111857e-14	1.072101e+05	3.998626e-14
9.317738e+04	2.019346e-14	9.449686e+04	1.973842e-14	1.041108e+05	3.024640e-14	1.053376e+05	3.182500e-14	1.059146e+05	4.813928e-14	1.068935e+05	4.101382e-14	1.072143e+05	3.987341e-14
9.318174e+04	2.015422e-14	9.450122e+04	1.969914e-14	1.041152e+05	3.017042e-14	1.053420e+05	3.171591e-14	1.059189e+05	4.788294e-14	1.068979e+05	4.089818e-14	1.072186e+05	3.975368e-14
9.318631e+04	2.011408e-14	9.450579e+04	1.965976e-14	1.041197e+05	3.009474e-14	1.053465e+05	3.159981e-14	1.059235e+05	4.754981e-14	1.069024e+05	4.077492e-14	1.072232e+05	3.962750e-14
9.319109e+04	2.005178e-14	9.451057e+04	1.959485e-14	1.041245e+05	3.001379e-14	1.053513e+05	3.147727e-14	1.059283e+05	4.700252e-14	1.069072e+05	4.045018e-14	1.072280e+05	3.935690e-14
9.319609e+04	2.001264e-14	9.451557e+04	1.955740e-14	1.041295e+05	2.993560e-14	1.053563e+05	3.135531e-14	1.059333e+05	4.655147e-14	1.069122e+05	4.033724e-14	1.072330e+05	3.923615e-14
9.320134e+04	1.997289e-14	9.452082e+04	1.951957e-14	1.041347e+05	2.985653e-14	1.053616e+05	3.123203e-14	1.059385e+05	4.604155e-14	1.069175e+05	4.021773e-14	1.072382e+05	3.910750e-14
9.320683e+04	1.993260e-14	9.452631e+04	1.948062e-14	1.041402e+05	2.977759e-14	1.053671e+05	3.111053e-14	1.059440e+05	4.547802e-14	1.069230e+05	4.009246e-14	1.072437e+05	3.897115e-14
9.321257e+04	1.989065e-14	9.453205e+04	1.944100e-14	1.041460e+05	2.969763e-14	1.053728e+05	3.099230e-14	1.059498e+05	4.486422e-14	1.069287e+05	3.996136e-14	1.072494e+05	3.882929e-14
9.321859e+04	1.984797e-14	9.453807e+04	1.940084e-14	1.041520e+05	2.961617e-14	1.053788e+05	3.087868e-14	1.059558e+05	4.420752e-14	1.069347e+05	3.982588e-14	1.072555e+05	3.868254e-14
9.322490e+04	1.980497e-14	9.454438e+04	1.936020e-14	1.041583e+05	2.953317e-14	1.053851e+05	3.076962e-14	1.059621e+05	4.351497e-14	1.069410e+05	3.963544e-14	1.072618e+05	3.853277e-14
9.323149e+04	1.976124e-14	9.455097e+04	1.931858e-14	1.041649e+05	2.944902e-14	1.053917e+05	3.066472e-14	1.059687e+05	4.279039e-14	1.069476e+05	3.949410e-14	1.072684e+05	3.838044e-14
9.323841e+04	1.971583e-14	9.455789e+04	1.927515e-14	1.041718e+05	2.936417e-14	1.053986e+05	3.056175e-14	1.059756e+05	4.203592e-14	1.069545e+05	3.950040e-14	1.072753e+05	3.822558e-14
9.324564e+04	1.968146e-14	9.456512e+04	1.924379e-14	1.041791e+05	2.928074e-14	1.054059e+05	3.045723e-14	1.059828e+05	4.133287e-14	1.069618e+05	3.929142e-14	1.072825e+05	3.815232e-14
9.325322e+04	1.963443e-14	9.457270e+04	1.919735e-14	1.041866e+05	2.919476e-14	1.054134e+05	3.034820e-14	1.059904e+05	4.052708e-14	1.069693e+05	3.910872e-14	1.072901e+05	3.799339e-14
9.326115e+04	1.958698e-14	9.458063e+04	1.914927e-14	1.041946e+05	2.910781e-14	1.054214e+05	3.023277e-14	1.059983e+05	3.970281e-14	1.069773e+05	3.932345e-14	1.072980e+05	3.783354e-14
9.326946e+04	1.953858e-14	9.458894e+04	1.909982e-14	1.042029e+05	2.902038e-14	1.054297e+05	3.011053e-14	1.060066e+05	3.886472e-14	1.069856e+05	3.898962e-14	1.073063e+05	3.767144e-14
9.327816e+04	1.948910e-14	9.459764e+04	1.904948e-14	1.042116e+05	2.893282e-14	1.054384e+05	2.998357e-14	1.060153e+05	3.801557e-14	1.069943e+05	3.823398e-14	1.073150e+05	3.750646e-14
9.328727e+04	1.944615e-14	9.460675e+04	1.900737e-14	1.042207e+05	2.884624e-14	1.054475e+05	2.985599e-14	1.060245e+05	3.721231e-14	1.070034e+05	3.839325e-14	1.073241e+05	3.739844e-14
9.329681e+04	1.939458e-14	9.461629e+04	1.895482e-14	1.042302e+05	2.875633e-14	1.054570e+05	2.964577e-14	1.060340e+05	3.634583e-14	1.070129e+05	3.920418e-14	1.073337e+05	3.723161e-14
9.330680e+04	1.934264e-14	9.462628e+04	1.890210e-14	1.042402e+05	2.866533e-14	1.054670e+05	2.934011e-14	1.060440e+05	3.547619e-14	1.070229e+05	3.940484e-14	1.073437e+05	3.706287e-14
9.331726e+04	1.929076e-14	9.463674e+04	1.885028e-14	1.042507e+05	2.857450e-14	1.054775e+05	2.980053e-14	1.060544e+05	3.461000e-14	1.070334e+05	3.835768e-14	1.073541e+05	3.689259e-14
9.332821e+04	1.924461e-14	9.464769e+04	1.880682e-14	1.042616e+05	2.848503e-14	1.054884e+05	2.893073e-14	1.060654e+05	3.378458e-14	1.070443e+05	3.696844e-14	1.073651e+05	3.677213e-14
9.333968e+04	1.919217e-14	9.465916e+04	1.875574e-14	1.042731e+05	2.839191e-14	1.054999e+05	2.965718e-14	1.060769e+05	3.292050e-14	1.070558e+05	3.633863e-14	1.073766e+05	3.660380e-14
9.335169e+04	1.914522e-14	9.467117e+04	1.871191e-14	1.042851e+05	2.830021e-14	1.055119e+05	2.935284e-14	1.060889e+05	3.209735e-14	1.070678e+05	3.701099e-14	1.073886e+05	3.647149e-14
9.336427e+04	1.909211e-14	9.468375e+04	1.866178e-14	1.042977e+05	2.820591e-14	1.055245e+05	2.837803e-14	1.061014e+05	3.124717e-14	1.070804e+05	3.827883e-14	1.074011e+05	3.630036e-14
9.337743e+04	1.904448e-14	9.469691e+04	1.861555e-14	1.043108e+05	2.811302e-14	1.055377e+05	2.863409e-14	1.061146e+05	3.043272e-14	1.070936e+05	3.926691e-14	1.074143e+05	3.616270e-14
9.339122e+04	1.899071e-14	9.471070e+04	1.856393e-14	1.043246e+05	2.801769e-14	1.055515e+05	2.943822e-14	1.061284e+05	2.960330e-14	1.071074e+05	3.922237e-14	1.074281e+05	3.599270e-14
9.340566e+04	1.894150e-14	9.472514e+04	1.851498e-14	1.043391e+05	2.792354e-14	1.055659e+05	2.932151e-14	1.061428e+05	2.880723e-14	1.071218e+05	3.819896e-14	1.074425e+05	3.585240e-14
9.342078e+04	1.888635e-14	9.474026e+04	1.846060e-14	1.043542e+05	2.782658e-14	1.055810e+05	2.831892e-14	1.061580e+05	2.799772e-14	1.071369e+05	3.658081e-14	1.074577e+05	3.568101e-14
9.343661e+04	1.883524e-14	9.475609e+04	1.840934e-14	1.043700e+05	2.772846e-14	1.055968e+05	2.746514e-14	1.061738e+05	2.722962e-14	1.071527e+05	3.510225e-14	1.074735e+05	3.553595e-14
9.345319e+04	1.878238e-14	9.477267e+04	1.835731e-14	1.043866e+05	2.763938e-14	1.056134e+05	2.745492e-14	1.061904e+05	2.647101e-14	1.071693e+05	3.424059e-14	1.074901e+05	3.538830e-14
9.347055e+04	1.872583e-14	9.479003e+04	1.830315e-14	1.044040e+05	2.752671e-14	1.056308e+05	2.813563e-14	1.062077e+05	2.570324e-14	1.071867e+05	3.418664e-14	1.075074e+05	3.521506e-14
9.348873e+04	1.867284e-14	9.480821e+04	1.825231e-14	1.044221e+05	2.744196e-14	1.056490e+05	2.886719e-14	1.062259e+05	2.497456e-14	1.072049e+05	3.491473e-14	1.075256e+05	3.506409e-14
9.350776e+04	1.861967e-14	9.482724e+04	1.820095e-14	1.044412e+05	2.736425e-14	1.056680e+05	2.908353e-14	1.062449e+05	2.425927e-14	1.072239e+05	3.608624e-14	1.075446e+05	3.491124e-14
9.352769e+04	1.856557e-14	9.484717e+04	1.814851e-14	1.044611e+05	2.722447e-14	1.056879e+05	2.861845e-14	1.062649e+05	2.356008e-14	1.072438e+05	3.731364e-14	1.075646e+05	3.475522e-14
9.354856e+04	1.850829e-14	9.486804e+04	1.809200e-14	1.044820e+05	2.710003e-14	1.057088e+05	2.769808e-14	1.062857e+05	2.286284e-14	1.072647e+05	3.822154e-14	1.075854e+05	3.457954e-14
9.357041e+04	1.845275e-14	9.488989e+04	1.803762e-14	1.045038e+05	2.705266e-14	1.057306e+05	2.672428e-14	1.063076e+05	2.219721e-14	1.072865e+05	3.862979e-14	1.076073e+05	3.442244e-14
9.359330e+04	1.839644e-14	9.491278e+04	1.798300e-14	1.045267e+05	2.700955e-14	1.057535e+05	2.606190e-14	1.063305e+05	2.154828e-14	1.073094e+05	3.842418e-14	1.076302e+05	3.426409e-14
9.361726e+04	1.833989e-14	9.493674e+04	1.792838e-14	1.045507e+05	2.688547e-14	1.057775e+05	2.589475e-14	1.063544e+05	2.091721e-14	1.073334e+05	3.765472e-14	1.076541e+05	3.410451e-14
9.364235e+04	1.828295e-14	9.496183e+04	1.787370e-14	1.045758e+05	2.669781e-14	1.058026e+05	2.620221e-14	1.063795e+05	2.030598e-14	1.073585e+05	3.646780e-14	1.076792e+05	3.394452e-14
9.366862e+04	1.822643e-14	9.498810e+04	1.782018e-14	1.046020e+05	2.653168e-14	1.058289e+05	2.681232e-14	1.064058e+05	1.971633e-14	1.073848e+05	3.508810e-14	1.077055e+05	3.379527e-14
9.369614e+04	1.816888e-14	9.501562e+04	1.776334e-14	1.046295e+05	2.644868e-14	1.058564e+05	2.749235e-14	1.064333e+05	1.913575e-14	1.074123e+05	3.368619e-14	1.077330e+05	3.363287e-14
9.372494e+04	1.811081e-14	9.504442e+04	1.770597e-14	1.046584e+05	2.644158e-14	1.058852e+05	2.802258e-14	1.064621e+05	1.857345e-14	1.074411e+05	3.246762e-14	1.077618e+05	3.347024e-14
9.375511e+04	1.805199e-14	9.507459e+04	1.764904e-14	1.046885e+05	2.644570e-14	1.059153e+05	2.825177e-14	1.064923e+05	1.802407e-14	1.074712e+05	3.156828e-14	1.077920e+05	3.330650e-14
9.378670e+04	1.799222e-14	9.510618e+04	1.759175e-14	1.047201e+05	2.639101e-14	1.059469e+05	2.812024e-14	1.065239e+05	1.749757e-14	1.075028e+05	3.106110e-14	1.078236e+05	3.314143e-14
9.381977e+04	1.793390e-14	9.513925e+04	1.753484e-14	1.047532e+05	2.624817e-14	1.059800e+05	2.765001e-14	1.065570e+05	1.699066e-14	1.075359e+05	3.098148e-14	1.078566e+05	3.298704e-14
9.385441e+04	1.787342e-14	9.517389e+04	1.747624e-14	1.047878e+05	2.603190e-14	1.060146e+05	2.693239e-14	1.065916e+05	1.649565e-14	1.075705e+05	3.126584e-14	1.078913e+05	3.282100e-14
9.389068e+04	1.781331e-14	9.521016e+04	1.741844e-14	1.048241e+05	2.579284e-14	1.060509e+05	2.608340e-14	1.066279e+05	1.602366e-14	1.076068e+05	3.186991e-14	1.079275e+05	3.266312e-14
9.392866e+04	1.775294e-14	9.524814e+04	1.735858e-14	1.048621e+05	2.558854e-14	1.060889e+05	2.523131e-14	1.066658e+05	1.555529e-14	1.076448e+05	3.267413e-14	1.079655e+05	3.249789e-14
9.396842e+04	1.769226e-14	9.528790e+04	1.729954e-14	1.049018e+05	2.545577e-14	1.061287e+05	2.449040e-14	1.067056e+05	1.511294e-14	1.076846e+05	3.359770e-14	1.080053e+05	3.233845e-14
9.401006e+04	1.763102e-14	9.532954e+04	1.724029e-14	1.049435e+05	2.540743e-14	1.061703e+05	2.393907e-14	1.067472e+05	1.468411e-14	1.077262e+05	3.452594e-14	1.080469e+05	3.217818e-14
9.405367e+04	1.756843e-14	9.537315e+04	1.718048e-14	1.049871e+05	2.542645e-14	1.062139e+05	2.362433e-14	1.067908e+05	1.426770e-14	1.077698e+05	3.535847e-14	1.080905e+05	3.201107e-14
