R Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
4.200000 0.014613 0.113184 0.063035 -0.059379 -0.003033 0.009253 0.069820 0.051076 -0.054222 -0.008343 0.038006 -0.030562 0.031991 0.001900 -0.089505 -0.082416 -0.181102 0.141615 0.150106 -0.148321
4.300000 0.012764 0.111096 0.062762 -0.059928 -0.003507 0.008293 0.070415 0.050051 -0.052078 -0.006864 0.033762 -0.027149 0.028419 0.001688 -0.079511 -0.073213 -0.160879 0.125801 0.133344 -0.131758
4.400000 0.010913 0.108137 0.062038 -0.059936 -0.003851 0.007285 0.070432 0.048561 -0.049611 -0.005508 0.029835 -0.023991 0.025113 0.001492 -0.070263 -0.064697 -0.142167 0.111169 0.117835 -0.116433
4.500000 0.009081 0.104416 0.060893 -0.059439 -0.004079 0.006249 0.069901 0.046673 -0.046876 -0.004268 0.026287 -0.021138 0.022127 0.001314 -0.061907 -0.057003 -0.125259 0.097948 0.103821 -0.102586
4.600000 0.007284 0.100051 0.059368 -0.058488 -0.004209 0.005201 0.068871 0.044460 -0.043931 -0.003135 0.023130 -0.018600 0.019470 0.001157 -0.054473 -0.050158 -0.110218 0.086186 0.091354 -0.090267
4.700000 0.005540 0.095164 0.057515 -0.057144 -0.004256 0.004158 0.067401 0.041992 -0.040832 -0.002102 0.020349 -0.016363 0.017129 0.001018 -0.047923 -0.044127 -0.096965 0.075823 0.080369 -0.079413
4.800000 0.003860 0.089883 0.055391 -0.055471 -0.004238 0.003134 0.065558 0.039336 -0.037633 -0.001158 0.017913 -0.014404 0.015078 0.000896 -0.042186 -0.038844 -0.085357 0.066746 0.070748 -0.069906
4.900000 0.002257 0.084326 0.053057 -0.053536 -0.004168 0.002141 0.063415 0.036557 -0.034388 -0.000297 0.015785 -0.012693 0.013287 0.000789 -0.037175 -0.034231 -0.075219 0.058818 0.062345 -0.061604
5.000000 0.000739 0.078606 0.050570 -0.051404 -0.004058 0.001186 0.061043 0.033711 -0.031142 0.000487 0.013929 -0.011201 0.011725 0.000697 -0.032804 -0.030206 -0.066375 0.051903 0.055015 -0.054360
5.100000 -0.000689 0.072825 0.047987 -0.049135 -0.003919 0.000279 0.058510 0.030848 -0.027936 0.001200 0.012310 -0.009899 0.010362 0.000616 -0.028991 -0.026694 -0.058659 0.045869 0.048619 -0.048041
5.200000 -0.002022 0.067071 0.045357 -0.046785 -0.003759 -0.000577 0.055877 0.028011 -0.024807 0.001848 0.010896 -0.008762 0.009171 0.000545 -0.025660 -0.023628 -0.051919 0.040599 0.043033 -0.042522
