R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
5.7	0.004794	0.001494	-0.00231	0.003855	0.002461	-0.004208	-0.000344	-0.003533	0.013669	0.02163	0.010865	0.019653	-0.022613	-0.021953	-0.006238	-0.018251	-0.006658	-0.005888	0.001695	-0.011754	-0.019789	0.01114	-0.024153	0.011257	-0.015777	-0.001925	-0.011503	0.01968
5.8	0.004278	0.001311	-0.002061	0.003419	0.002195	-0.003735	-0.000306	-0.00315	0.012186	0.019295	0.009684	0.017529	-0.020177	-0.019474	-0.005567	-0.016168	-0.005945	-0.00516	0.001414	-0.01048	-0.017557	0.009942	-0.021443	0.010033	-0.01399	-0.001619	-0.010259	0.017474
5.9	0.00382	0.001154	-0.00184	0.003038	0.00196	-0.00332	-0.000273	-0.002811	0.010873	0.017226	0.00864	0.015649	-0.018018	-0.017301	-0.004973	-0.014347	-0.005312	-0.004535	0.001186	-0.009352	-0.015601	0.008879	-0.019065	0.008951	-0.012425	-0.001369	-0.009158	0.015538
6	0.003414	0.001018	-0.001645	0.002702	0.001752	-0.002955	-0.000243	-0.002511	0.00971	0.015391	0.007715	0.013981	-0.016101	-0.015393	-0.004445	-0.012751	-0.004749	-0.003997	0.001001	-0.008352	-0.013882	0.007936	-0.016972	0.007992	-0.011051	-0.001164	-0.008182	0.013834
6.2	0.002731	0.000797	-0.001315	0.002146	0.001401	-0.002348	-0.000194	-0.002007	0.007759	0.012308	0.006163	0.011179	-0.01288	-0.012224	-0.003557	-0.010109	-0.003803	-0.003124	0.000724	-0.006675	-0.011027	0.00635	-0.013492	0.006384	-0.008772	-0.000855	-0.006541	0.010999
6.4	0.002188	0.000629	-0.001054	0.001709	0.001122	-0.001872	-0.000155	-0.001607	0.006211	0.009858	0.004932	0.008953	-0.010318	-0.00974	-0.00285	-0.008044	-0.003048	-0.002459	0.000534	-0.005344	-0.008787	0.005088	-0.010759	0.005109	-0.006987	-0.000639	-0.005238	0.008772
6.6	0.001754	0.000498	-0.000845	0.001365	0.0009	-0.001495	-0.000124	-0.001288	0.004976	0.007902	0.003952	0.007176	-0.008272	-0.007777	-0.002285	-0.006416	-0.002445	-0.001946	0.000401	-0.004282	-0.007017	0.00408	-0.008595	0.004093	-0.005577	-0.000485	-0.004199	0.007009
6.8	0.001406	0.000396	-0.000677	0.001091	0.000721	-0.001195	-0.0001	-0.001032	0.003988	0.006335	0.003166	0.005753	-0.006632	-0.006216	-0.001832	-0.005125	-0.001961	-0.001545	0.000305	-0.003432	-0.00561	0.003271	-0.006874	0.00328	-0.004457	-0.000373	-0.003365	0.005605
7	0.001127	0.000315	-0.000543	0.000872	0.000578	-0.000956	-8E-05	-0.000827	0.003194	0.005076	0.002536	0.004609	-0.005314	-0.004971	-0.001468	-0.004096	-0.001572	-0.001229	0.000236	-0.002749	-0.004486	0.002621	-0.005498	0.002627	-0.003563	-0.00029	-0.002696	0.004483
7.2	0.000902	0.000251	-0.000434	0.000697	0.000463	-0.000764	-6.4E-05	-0.000662	0.002556	0.004062	0.00203	0.003689	-0.004254	-0.003973	-0.001175	-0.003273	-0.001258	-0.000979	0.000184	-0.0022	-0.003586	0.002098	-0.004396	0.002102	-0.002848	-0.000227	-0.002158	0.003585
7.4	0.000721	0.0002	-0.000347	0.000557	0.00037	-0.000611	-5.1E-05	-0.000529	0.002043	0.003247	0.001622	0.002949	-0.0034	-0.003173	-0.00094	-0.002614	-0.001006	-0.000781	0.000145	-0.001758	-0.002864	0.001677	-0.003511	0.00168	-0.002275	-0.000179	-0.001725	0.002863
7.6	0.000575	0.00016	-0.000277	0.000444	0.000295	-0.000487	-4.1E-05	-0.000422	0.00163	0.002591	0.001294	0.002353	-0.002713	-0.002532	-0.00075	-0.002085	-0.000803	-0.000622	0.000115	-0.001403	-0.002285	0.001339	-0.002801	0.001341	-0.001815	-0.000142	-0.001376	0.002284
