State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	
5.229988e+01	2.219294e-14	9.367354e+04	2.051013e-14	9.515766e+04	2.203941e-14	1.054187e+05	3.356690e-14	1.059905e+05	3.715676e-14	1.068259e+05	4.265178e-14	1.069691e+05	4.281282e-14	1.085001e+05	4.543378e-14
5.480900e+01	2.186196e-14	9.367605e+04	2.048706e-14	9.516017e+04	2.201907e-14	1.054213e+05	3.345994e-14	1.059930e+05	3.636747e-14	1.068284e+05	4.265237e-14	1.069717e+05	4.282771e-14	1.085026e+05	4.558199e-14
5.743637e+01	2.151777e-14	9.367868e+04	2.039536e-14	9.516280e+04	2.194507e-14	1.054239e+05	3.334133e-14	1.059956e+05	3.543906e-14	1.068310e+05	4.224314e-14	1.069743e+05	4.240937e-14	1.085052e+05	4.490470e-14
6.018756e+01	2.116825e-14	9.368143e+04	2.037432e-14	9.516555e+04	2.192165e-14	1.054266e+05	3.322764e-14	1.059984e+05	3.468935e-14	1.068338e+05	4.224824e-14	1.069770e+05	4.242808e-14	1.085080e+05	4.506993e-14
6.306842e+01	2.080898e-14	9.368431e+04	2.034490e-14	9.516843e+04	2.189420e-14	1.054295e+05	3.310765e-14	1.060013e+05	3.393977e-14	1.068367e+05	4.220871e-14	1.069799e+05	4.240346e-14	1.085108e+05	4.515544e-14
6.608504e+01	2.043991e-14	9.368733e+04	2.025939e-14	9.517145e+04	2.182022e-14	1.054325e+05	3.297692e-14	1.060043e+05	3.308167e-14	1.068397e+05	4.180868e-14	1.069829e+05	4.199798e-14	1.085139e+05	4.449697e-14
6.924384e+01	2.006946e-14	9.369048e+04	2.022646e-14	9.517460e+04	2.179117e-14	1.054357e+05	3.285299e-14	1.060075e+05	3.237256e-14	1.068428e+05	4.177740e-14	1.069861e+05	4.198103e-14	1.085170e+05	4.459347e-14
7.255150e+01	1.969718e-14	9.369379e+04	2.019117e-14	9.517791e+04	2.175793e-14	1.054390e+05	3.273269e-14	1.060108e+05	3.166674e-14	1.068461e+05	4.171427e-14	1.069894e+05	4.193029e-14	1.085203e+05	4.462571e-14
7.601504e+01	1.931928e-14	9.369726e+04	2.015321e-14	9.518138e+04	2.172054e-14	1.054425e+05	3.261630e-14	1.060142e+05	3.096681e-14	1.068496e+05	4.162845e-14	1.069929e+05	4.185720e-14	1.085238e+05	4.460994e-14
7.964182e+01	1.894309e-14	9.370088e+04	2.007365e-14	9.518500e+04	2.165097e-14	1.054461e+05	3.249653e-14	1.060179e+05	3.019374e-14	1.068532e+05	4.126017e-14	1.069965e+05	4.148484e-14	1.085274e+05	4.399489e-14
8.343953e+01	1.856915e-14	9.370468e+04	2.003999e-14	9.518880e+04	2.161442e-14	1.054499e+05	3.238564e-14	1.060216e+05	2.953684e-14	1.068570e+05	4.118517e-14	1.070003e+05	4.142285e-14	1.085312e+05	4.399711e-14
8.741621e+01	1.819646e-14	9.370866e+04	2.000238e-14	9.519278e+04	2.157628e-14	1.054539e+05	3.227958e-14	1.060256e+05	2.889043e-14	1.068610e+05	4.109135e-14	1.070043e+05	4.134392e-14	1.085352e+05	4.396539e-14
9.158031e+01	1.782236e-14	9.371282e+04	1.996396e-14	9.519694e+04	2.153647e-14	1.054580e+05	3.216921e-14	1.060298e+05	2.826087e-14	1.068652e+05	4.098231e-14	1.070084e+05	4.124969e-14	1.085394e+05	4.390851e-14
9.594066e+01	1.745036e-14	9.371718e+04	1.992388e-14	9.520130e+04	2.149308e-14	1.054624e+05	3.206722e-14	1.060342e+05	2.765155e-14	1.068695e+05	4.086261e-14	1.070128e+05	4.114320e-14	1.085437e+05	4.383026e-14
1.005065e+02	1.708348e-14	9.372175e+04	1.988341e-14	9.520587e+04	2.144747e-14	1.054670e+05	3.193968e-14	1.060387e+05	2.706098e-14	1.068741e+05	4.073335e-14	1.070174e+05	4.102559e-14	1.085483e+05	4.373196e-14
1.052875e+02	1.671882e-14	9.372653e+04	1.981578e-14	9.521065e+04	2.137906e-14	1.054717e+05	3.181425e-14	1.060435e+05	2.642895e-14	1.068789e+05	4.040309e-14	1.070221e+05	4.069248e-14	1.085531e+05	4.319594e-14
1.102939e+02	1.635908e-14	9.373153e+04	1.977700e-14	9.521565e+04	2.133187e-14	1.054767e+05	3.168799e-14	1.060485e+05	2.587682e-14	1.068839e+05	4.028109e-14	1.070271e+05	4.057653e-14	1.085581e+05	4.310309e-14
1.155362e+02	1.600356e-14	9.373678e+04	1.973790e-14	9.522090e+04	2.128418e-14	1.054820e+05	3.157544e-14	1.060537e+05	2.533661e-14	1.068891e+05	4.015076e-14	1.070324e+05	4.044827e-14	1.085633e+05	4.299299e-14
1.210255e+02	1.565308e-14	9.374227e+04	1.969859e-14	9.522639e+04	2.123652e-14	1.054875e+05	3.140691e-14	1.060592e+05	2.481021e-14	1.068946e+05	4.001342e-14	1.070379e+05	4.030945e-14	1.085688e+05	4.287059e-14
1.267736e+02	1.530810e-14	9.374801e+04	1.965834e-14	9.523213e+04	2.118922e-14	1.054932e+05	3.133732e-14	1.060650e+05	2.430055e-14	1.069004e+05	3.987021e-14	1.070436e+05	4.016254e-14	1.085745e+05	4.273886e-14
1.327925e+02	1.496971e-14	9.375403e+04	1.961777e-14	9.523815e+04	2.114211e-14	1.054992e+05	3.126480e-14	1.060710e+05	2.380783e-14	1.069064e+05	3.972057e-14	1.070496e+05	4.001067e-14	1.085806e+05	4.259720e-14
1.390952e+02	1.463865e-14	9.376034e+04	1.957701e-14	9.524446e+04	2.109340e-14	1.055055e+05	3.111356e-14	1.060773e+05	2.333690e-14	1.069127e+05	3.956606e-14	1.070559e+05	3.985674e-14	1.085869e+05	4.244555e-14
1.456948e+02	1.431530e-14	9.376693e+04	1.953512e-14	9.525105e+04	2.104287e-14	1.055121e+05	3.095734e-14	1.060839e+05	2.288845e-14	1.069193e+05	3.940787e-14	1.070625e+05	3.970180e-14	1.085935e+05	4.228466e-14
1.526055e+02	1.399942e-14	9.377385e+04	1.949120e-14	9.525797e+04	2.099114e-14	1.055191e+05	3.082266e-14	1.060908e+05	2.245021e-14	1.069262e+05	3.924654e-14	1.070695e+05	3.954483e-14	1.086004e+05	4.211633e-14
1.598419e+02	1.369058e-14	9.378108e+04	1.946033e-14	9.526520e+04	2.094993e-14	1.055263e+05	3.067289e-14	1.060981e+05	2.204151e-14	1.069334e+05	3.919855e-14	1.070767e+05	3.950688e-14	1.086076e+05	4.219912e-14
