R Im<0|V|1> Im<0|V|2> Im<0|V|3> Im<0|V|4> Im<0|V|5> Im<0|V|6> Im<0|V|7> Im<1|V|3> Im<1|V|4> Im<1|V|5> Im<1|V|6> Im<1|V|7> Im<2|V|3> Im<2|V|4> Im<2|V|5> Im<2|V|6> Im<2|V|7> Im<3|V|4> Im<3|V|5> Im<3|V|6> Im<3|V|7> Im<4|V|5> Im<4|V|6> Im<4|V|7> Im<5|V|6> Im<5|V|7> Im<6|V|7>
8.400000 -0.017801 -0.032788 -0.000004 -0.000001 0.000040 0.000001 0.000105 0.008710 0.004585 -0.001873 -0.013923 -0.000903 -0.004735 -0.002541 -0.000666 0.008034 -0.002256 0.000400 0.001041 0.000608 -0.000362 0.000701 0.000351 -0.000247 -0.001022 0.000002 0.000403
8.600000 -0.017800 -0.032785 -0.000003 -0.000001 0.000033 0.000001 0.000086 0.008730 0.004600 -0.001875 -0.013951 -0.000905 -0.004747 -0.002549 -0.000667 0.008050 -0.002259 0.000317 0.000823 0.000481 -0.000286 0.000555 0.000278 -0.000195 -0.000808 0.000002 0.000318
8.800000 -0.017799 -0.032783 -0.000003 -0.000001 0.000027 0.000000 0.000070 0.008746 0.004611 -0.001876 -0.013972 -0.000906 -0.004755 -0.002555 -0.000668 0.008063 -0.002261 0.000250 0.000649 0.000379 -0.000226 0.000438 0.000219 -0.000154 -0.000637 0.000001 0.000251
9.000000 -0.017798 -0.032781 -0.000002 -0.000001 0.000022 0.000000 0.000057 0.008757 0.004620 -0.001877 -0.013988 -0.000907 -0.004761 -0.002560 -0.000669 0.008072 -0.002263 0.000197 0.000511 0.000299 -0.000178 0.000345 0.000173 -0.000121 -0.000502 0.000001 0.000198
9.200000 -0.017797 -0.032780 -0.000002 -0.000000 0.000018 0.000000 0.000046 0.008766 0.004626 -0.001878 -0.014000 -0.000908 -0.004766 -0.002563 -0.000670 0.008078 -0.002264 0.000155 0.000402 0.000235 -0.000140 0.000271 0.000136 -0.000095 -0.000394 0.000001 0.000155
9.400000 -0.017796 -0.032779 -0.000001 -0.000000 0.000014 0.000000 0.000037 0.008773 0.004631 -0.001878 -0.014009 -0.000908 -0.004770 -0.002566 -0.000670 0.008083 -0.002265 0.000121 0.000315 0.000184 -0.000110 0.000212 0.000106 -0.000075 -0.000309 0.000001 0.000122
9.600000 -0.017796 -0.032778 -0.000001 -0.000000 0.000012 0.000000 0.000030 0.008778 0.004635 -0.001879 -0.014016 -0.000909 -0.004772 -0.002568 -0.000670 0.008087 -0.002266 0.000095 0.000246 0.000144 -0.000086 0.000166 0.000083 -0.000058 -0.000242 0.000000 0.000095
9.800000 -0.017796 -0.032777 -0.000001 -0.000000 0.000009 0.000000 0.000024 0.008781 0.004638 -0.001879 -0.014020 -0.000909 -0.004774 -0.002570 -0.000671 0.008090 -0.002266 0.000074 0.000192 0.000112 -0.000067 0.000130 0.000065 -0.000046 -0.000189 0.000000 0.000074
10.000000 -0.017795 -0.032777 -0.000001 -0.000000 0.000007 0.000000 0.000019 0.008784 0.004640 -0.001879 -0.014024 -0.000909 -0.004776 -0.002571 -0.000671 0.008092 -0.002266 0.000058 0.000150 0.000087 -0.000052 0.000101 0.000051 -0.000036 -0.000147 0.000000 0.000058
10.500000 -0.017795 -0.032776 -0.000000 -0.000000 0.000004 0.000000 0.000011 0.008790 0.004645 -0.001879 -0.014032 -0.000909 -0.004779 -0.002574 -0.000671 0.008096 -0.002266 0.000032 0.000083 0.000048 -0.000029 0.000056 0.000028 -0.000020 -0.000081 0.000000 0.000032
11.000000 -0.017795 -0.032776 -0.000000 -0.000000 0.000002 0.000000 0.000006 0.008789 0.004645 -0.001879 -0.014031 -0.000909 -0.004779 -0.002574 -0.000671 0.008095 -0.002267 0.000016 0.000042 0.000024 -0.000014 0.000028 0.000014 -0.000010 -0.000041 0.000000 0.000016
