R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7> Re<6|V|7>
4.000000 0.000004 0.000010 0.000393 0.000296 -0.000393 -0.000423 -0.000639 -0.010423 -0.000974 -0.008503 0.001481 -0.001228 0.005667 0.000541 0.001283 -0.000832 -0.008310 0.114802 -0.186511 0.075982 0.075543 -0.037607 0.135114 0.016661 0.013465 0.004153 0.000402
4.100000 0.000004 0.000010 0.000356 0.000270 -0.000321 -0.000393 -0.000521 -0.009187 -0.001044 -0.006697 0.001262 -0.001071 0.004995 0.000577 0.000967 -0.000707 -0.006674 0.104067 -0.169071 0.068877 0.068479 -0.034090 0.122480 0.015103 0.012206 0.003766 0.000364
4.200000 0.000004 0.000011 0.000319 0.000242 -0.000257 -0.000360 -0.000417 -0.007818 -0.001037 -0.005025 0.001039 -0.000812 0.004251 0.000570 0.000761 -0.000581 -0.004994 0.093212 -0.151435 0.061692 0.061336 -0.030534 0.109704 0.013528 0.010933 0.003374 0.000326
4.300000 0.000004 0.000011 0.000284 0.000216 -0.000201 -0.000328 -0.000326 -0.006365 -0.000965 -0.003497 0.000818 -0.000473 0.003460 0.000529 0.000651 -0.000455 -0.003313 0.082803 -0.134525 0.054803 0.054487 -0.027125 0.097454 0.012017 0.009712 0.002999 0.000290
4.400000 0.000004 0.000011 0.000251 0.000192 -0.000153 -0.000296 -0.000247 -0.004869 -0.000842 -0.002114 0.000602 -0.000079 0.002647 0.000459 0.000619 -0.000332 -0.001662 0.073172 -0.118878 0.048429 0.048149 -0.023970 0.086119 0.010619 0.008582 0.002651 0.000256
4.500000 0.000004 0.000011 0.000221 0.000169 -0.000112 -0.000268 -0.000179 -0.003367 -0.000682 -0.000868 0.000394 0.000351 0.001830 0.000370 0.000648 -0.000213 -0.000066 0.064470 -0.104740 0.042670 0.042423 -0.021119 0.075877 0.009356 0.007562 0.002336 0.000226
4.600000 0.000004 0.000011 0.000194 0.000150 -0.000077 -0.000241 -0.000123 -0.001886 -0.000496 0.000250 0.000196 0.000802 0.001025 0.000266 0.000723 -0.000100 0.001459 0.056728 -0.092163 0.037546 0.037329 -0.018583 0.066765 0.008233 0.006654 0.002057 0.000199
4.700000 0.000004 0.000011 0.000171 0.000132 -0.000048 -0.000218 -0.000075 -0.000448 -0.000294 0.001250 0.000009 0.001258 0.000243 0.000154 0.000831 0.000007 0.002901 0.049907 -0.081081 0.033031 0.032840 -0.016349 0.058737 0.007243 0.005854 0.001810 0.000175
4.800000 0.000004 0.000011 0.000151 0.000117 -0.000024 -0.000197 -0.000036 0.000929 -0.000083 0.002143 -0.000167 0.001709 -0.000506 0.000037 0.000961 0.000107 0.004251 0.043933 -0.071374 0.029077 0.028909 -0.014391 0.051706 0.006376 0.005153 0.001594 0.000154
4.900000 0.000004 0.000011 0.000133 0.000104 -0.000005 -0.000178 -0.000005 0.002236 0.000129 0.002939 -0.000330 0.002147 -0.001217 -0.000080 0.001104 0.000200 0.005507 0.038715 -0.062897 0.025623 0.025475 -0.012682 0.045565 0.005619 0.004541 0.001405 0.000136
5.000000 0.000004 0.000011 0.000117 0.000092 0.000010 -0.000161 0.000021 0.003464 0.000340 0.003647 -0.000481 0.002565 -0.001884 -0.000196 0.001253 0.000286 0.006666 0.034163 -0.055502 0.022611 0.022480 -0.011191 0.040207 0.004958 0.004007 0.001241 0.000120
5.100000 0.000004 0.000011 0.000104 0.000082 0.000023 -0.000146 0.000040 0.004610 0.000543 0.004276 -0.000620 0.002961 -0.002507 -0.000309 0.001404 0.000366 0.007729 0.030191 -0.049050 0.019982 0.019867 -0.009890 0.035533 0.004382 0.003541 0.001097 0.000106
5.200000 0.000004 0.000011 0.000092 0.000073 0.000032 -0.000133 0.000056 0.005671 0.000739 0.004833 -0.000747 0.003331 -0.003085 -0.000417 0.001553 0.000439 0.008699 0.026723 -0.043414 0.017686 0.017584 -0.008754 0.031451 0.003878 0.003134 0.000971 0.000094
5.300000 0.000004 0.000011 0.000081 0.000065 0.000039 -0.000121 0.000067 0.006649 0.000923 0.005326 -0.000863 0.003674 -0.003616 -0.000519 0.001696 0.000505 0.009579 0.023689 -0.038485 0.015678 0.015588 -0.007760 0.027880 0.003438 0.002778 0.000862 0.000083
