State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.312709e+04	1.993322e-14	1.052779e+05	4.087535e-14	1.054346e+05	4.129168e-14	1.059876e+05	4.506590e-14	1.069697e+05	3.045138e-14
9.312949e+04	1.991275e-14	1.052803e+05	4.086547e-14	1.054370e+05	4.129331e-14	1.059900e+05	4.533489e-14	1.069721e+05	3.035568e-14
9.313200e+04	1.988193e-14	1.052828e+05	4.081539e-14	1.054395e+05	4.124877e-14	1.059925e+05	4.549151e-14	1.069746e+05	3.025568e-14
9.313463e+04	1.977850e-14	1.052855e+05	4.053331e-14	1.054421e+05	4.094703e-14	1.059952e+05	4.482738e-14	1.069772e+05	3.015430e-14
9.313738e+04	1.974974e-14	1.052882e+05	4.048635e-14	1.054449e+05	4.090554e-14	1.059979e+05	4.500160e-14	1.069800e+05	3.005061e-14
9.314026e+04	1.971512e-14	1.052911e+05	4.041188e-14	1.054477e+05	4.083262e-14	1.060008e+05	4.509580e-14	1.069828e+05	2.994944e-14
9.314328e+04	1.961893e-14	1.052941e+05	4.013668e-14	1.054508e+05	4.053457e-14	1.060038e+05	4.445461e-14	1.069859e+05	2.984907e-14
9.314643e+04	1.958594e-14	1.052973e+05	4.007183e-14	1.054539e+05	4.047068e-14	1.060070e+05	4.456699e-14	1.069890e+05	2.974887e-14
9.314974e+04	1.954884e-14	1.053006e+05	3.998783e-14	1.054572e+05	4.038549e-14	1.060103e+05	4.461703e-14	1.069923e+05	2.964887e-14
9.315321e+04	1.950917e-14	1.053040e+05	3.989037e-14	1.054607e+05	4.028444e-14	1.060137e+05	4.461909e-14	1.069958e+05	2.954641e-14
9.315683e+04	1.942618e-14	1.053077e+05	3.963488e-14	1.054643e+05	4.000782e-14	1.060174e+05	4.402471e-14	1.069994e+05	2.944347e-14
9.316063e+04	1.939168e-14	1.053115e+05	3.954349e-14	1.054681e+05	3.991473e-14	1.060212e+05	4.404139e-14	1.070032e+05	2.933852e-14
9.316461e+04	1.935604e-14	1.053154e+05	3.943864e-14	1.054721e+05	3.980868e-14	1.060251e+05	4.401992e-14	1.070072e+05	2.923305e-14
9.316877e+04	1.931863e-14	1.053196e+05	3.932383e-14	1.054763e+05	3.969123e-14	1.060293e+05	4.396980e-14	1.070114e+05	2.912855e-14
9.317313e+04	1.927954e-14	1.053240e+05	3.920191e-14	1.054806e+05	3.956592e-14	1.060337e+05	4.389675e-14	1.070157e+05	2.902463e-14
9.317770e+04	1.923996e-14	1.053285e+05	3.907396e-14	1.054852e+05	3.943609e-14	1.060382e+05	4.380601e-14	1.070203e+05	2.891862e-14
9.318248e+04	1.917152e-14	1.053333e+05	3.883338e-14	1.054900e+05	3.917979e-14	1.060430e+05	4.327819e-14	1.070251e+05	2.881044e-14
9.318748e+04	1.913533e-14	1.053383e+05	3.870923e-14	1.054950e+05	3.905383e-14	1.060480e+05	4.319695e-14	1.070301e+05	2.870167e-14
9.319273e+04	1.909730e-14	1.053436e+05	3.857844e-14	1.055002e+05	3.892279e-14	1.060533e+05	4.309789e-14	1.070353e+05	2.858923e-14
9.319822e+04	1.905832e-14	1.053491e+05	3.844184e-14	1.055057e+05	3.878522e-14	1.060587e+05	4.298327e-14	1.070408e+05	2.847357e-14
9.320396e+04	1.901890e-14	1.053548e+05	3.829989e-14	1.055115e+05	3.864176e-14	1.060645e+05	4.285683e-14	1.070466e+05	2.835619e-14
9.320998e+04	1.897922e-14	1.053608e+05	3.815397e-14	1.055175e+05	3.849351e-14	1.060705e+05	4.272072e-14	1.070526e+05	2.823928e-14
9.321629e+04	1.893816e-14	1.053671e+05	3.800542e-14	1.055238e+05	3.834089e-14	1.060768e+05	4.257606e-14	1.070589e+05	2.812387e-14
9.322288e+04	1.889487e-14	1.053737e+05	3.785513e-14	1.055304e+05	3.818431e-14	1.060834e+05	4.242359e-14	1.070655e+05	2.801042e-14
9.322980e+04	1.884954e-14	1.053806e+05	3.770358e-14	1.055373e+05	3.802432e-14	1.060903e+05	4.226413e-14	1.070724e+05	2.789770e-14
9.323703e+04	1.881789e-14	1.053879e+05	3.761571e-14	1.055445e+05	3.793488e-14	1.060976e+05	4.235908e-14	1.070796e+05	2.778369e-14
9.324461e+04	1.876834e-14	1.053954e+05	3.746160e-14	1.055521e+05	3.777093e-14	1.061051e+05	4.218548e-14	1.070872e+05	2.766705e-14
9.325254e+04	1.871703e-14	1.054034e+05	3.730684e-14	1.055600e+05	3.760789e-14	1.061131e+05	4.200778e-14	1.070951e+05	2.754771e-14
