r	<0|H_so|41>	<1|H_so|42>	<1|H_so|43>	<2|H_so|42>	<2|H_so|43>	<3|H_so|42>	<3|H_so|43>	<8|H_so|41>	<9|H_so|42>	<9|H_so|43>	<10|H_so|42>	<10|H_so|43>	<11|H_so|42>	<11|H_so|43>
2.8	-311.3	-206.45	-86.06	219.61	23.21	87.24	-297.95	-311.3	-206.45	-86.06	219.61	23.21	87.24	-297.95
2.85	-311.29	-206.16	-86.71	219.55	23.69	88.19	-297.67	-311.29	-206.16	-86.71	219.55	23.69	88.19	-297.67
2.9	-311.28	-205.8	-87.57	219.48	24.19	89.29	-297.33	-311.28	-205.8	-87.57	219.48	24.19	89.29	-297.33
3	-311.27	-204.9	-89.86	219.35	25.23	91.92	-296.47	-311.27	-204.9	-89.86	219.35	25.23	91.92	-296.47
3.1	-311.26	-203.75	-92.81	219.2	26.39	95.06	-295.37	-311.26	-203.75	-92.81	219.2	26.39	95.06	-295.37
3.2	-311.26	-202.35	-96.34	219.03	27.68	98.7	-294.02	-311.26	-202.35	-96.34	219.03	27.68	98.7	-294.02
3.3	-311.26	-200.69	-100.41	218.84	29.14	102.79	-292.4	-311.26	-200.69	-100.41	218.84	29.14	102.79	-292.4
3.4	-311.27	-198.76	-104.97	218.61	30.78	107.33	-290.51	-311.27	-198.76	-104.97	218.61	30.78	107.33	-290.51
3.5	-311.27	-196.52	-109.98	218.34	32.62	112.28	-288.32	-311.27	-196.52	-109.98	218.34	32.62	112.28	-288.32
3.6	-311.27	-193.98	-115.4	218.03	34.66	117.61	-285.81	-311.27	-193.98	-115.4	218.03	34.66	117.61	-285.81
3.7	-311.28	-191.09	-121.19	217.66	36.93	123.31	-282.96	-311.28	-191.09	-121.19	217.66	36.93	123.31	-282.96
3.8	-311.28	-187.86	-127.3	217.22	39.42	129.34	-279.75	-311.28	-187.86	-127.3	217.22	39.42	129.34	-279.75
3.9	-311.28	-184.25	-133.67	216.71	42.13	135.67	-276.18	-311.28	-184.25	-133.67	216.71	42.13	135.67	-276.18
