r	<0|H_so|15>	<1|H_so|16>	<1|H_so|17>	<2|H_so|16>	<2|H_so|17>	<3|H_so|16>	<3|H_so|17>	<4|H_so|12>	<4|H_so|18>	<5|H_so|13>	<5|H_so|14>	<5|H_so|19>	<5|H_so|20>	<6|H_so|13>	<6|H_so|14>	<6|H_so|19>	<6|H_so|20>	<7|H_so|13>	<7|H_so|14>	<7|H_so|19>	<7|H_so|20>	<8|H_so|15>	<9|H_so|16>	<9|H_so|17>	<10|H_so|16>	<10|H_so|17>	<11|H_so|16>	<11|H_so|17>
3.7	-311.88	180.6	145.87	-211.27	-64.35	-135.01	271.97	311.88	-311.88	-180.6	-145.87	180.6	145.87	211.27	64.35	-211.27	-64.35	135.01	-271.97	-135.01	271.97	311.88	-180.6	-145.87	211.27	64.35	135.01	-271.97
3.8	-311.9	176.32	152.53	-210.21	-67.74	-141.69	267.71	311.9	-311.9	-176.32	-152.53	176.32	152.53	210.21	67.74	-210.21	-67.74	141.69	-267.71	-141.69	267.71	311.9	-176.32	-152.53	210.21	67.74	141.69	-267.71
3.9	-311.91	171.6	159.38	-209.02	-71.3	-148.61	263.02	311.91	-311.91	-171.6	-159.38	171.6	159.38	209.02	71.3	-209.02	-71.3	148.61	-263.02	-148.61	263.02	311.91	-171.6	-159.38	209.02	71.3	148.61	-263.02
4	-311.92	166.43	166.33	-207.71	-75.04	-155.71	257.9	311.92	-311.92	-166.43	-166.33	166.43	166.33	207.71	75.04	-207.71	-75.04	155.71	-257.9	-155.71	257.9	311.92	-166.43	-166.33	207.71	75.04	155.71	-257.9
4.1	-311.93	160.85	173.31	-206.27	-78.92	-162.91	252.36	311.93	-311.93	-160.85	-173.31	160.85	173.31	206.27	78.92	-206.27	-78.92	162.91	-252.36	-162.91	252.36	311.93	-160.85	-173.31	206.27	78.92	162.91	-252.36
4.2	-311.94	154.86	180.25	-204.7	-82.92	-170.13	246.42	311.94	-311.94	-154.86	-180.25	154.86	180.25	204.7	82.92	-204.7	-82.92	170.13	-246.42	-170.13	246.42	311.94	-154.86	-180.25	204.7	82.92	170.13	-246.42
4.3	-311.95	148.51	187.08	-203	-87.01	-177.31	240.12	311.95	-311.95	-148.51	-187.08	148.51	187.08	203	87.01	-203	-87.01	177.31	-240.12	-177.31	240.12	311.95	-148.51	-187.08	203	87.01	177.31	-240.12
4.4	-311.96	141.83	193.72	-201.17	-91.16	-184.37	233.49	311.96	-311.96	-141.83	-193.72	141.83	193.72	201.17	91.16	-201.17	-91.16	184.37	-233.49	-184.37	233.49	311.96	-141.83	-193.72	201.17	91.16	184.37	-233.49
4.5	-311.96	134.89	200.11	-199.22	-95.34	-191.24	226.6	311.96	-311.96	-134.89	-200.11	134.89	200.11	199.22	95.34	-199.22	-95.34	191.24	-226.6	-191.24	226.6	311.96	-134.89	-200.11	199.22	95.34	191.24	-226.6
4.6	-311.97	127.74	206.19	-197.18	-99.51	-197.86	219.51	311.97	-311.97	-127.74	-206.19	127.74	206.19	197.18	99.51	-197.18	-99.51	197.86	-219.51	-197.86	219.51	311.97	-127.74	-206.19	197.18	99.51	197.86	-219.51
