r	<0|H_so|0>	<1|H_so|1>	<2|H_so|2>	<3|H_so|3>	<4|H_so|4>	<5|H_so|5>	<6|H_so|6>	<7|H_so|7>	<8|H_so|8>	<9|H_so|9>	<10|H_so|10>	<11|H_so|11>
7.6	93529.48	104152.46	105685.06	105692.62	93529.48	104152.46	105685.06	105692.62	93529.48	104152.46	105685.06	105692.62
7.8	93529.55	104151.86	105682.05	105693.16	93529.55	104151.86	105682.05	105693.16	93529.55	104151.86	105682.05	105693.16
8	93529.65	104151.46	105679.73	105693.58	93529.65	104151.46	105679.73	105693.58	93529.65	104151.46	105679.73	105693.58
8.2	93529.76	104151.21	105677.97	105693.93	93529.76	104151.21	105677.97	105693.93	93529.76	104151.21	105677.97	105693.93
8.4	93529.8	104151.09	105676.55	105694.16	93529.8	104151.09	105676.55	105694.16	93529.8	104151.09	105676.55	105694.16
8.6	93529.89	104151	105675.54	105694.38	93529.89	104151	105675.54	105694.38	93529.89	104151	105675.54	105694.38
8.8	93529.97	104150.93	105674.78	105694.55	93529.97	104150.93	105674.78	105694.55	93529.97	104150.93	105674.78	105694.55
9	93530.04	104150.92	105674.21	105694.69	93530.04	104150.92	105674.21	105694.69	93530.04	104150.92	105674.21	105694.69
9.2	93530.11	104150.93	105673.79	105694.8	93530.11	104150.93	105673.79	105694.8	93530.11	104150.93	105673.79	105694.8
9.4	93530.17	104150.97	105673.48	105694.89	93530.17	104150.97	105673.48	105694.89	93530.17	104150.97	105673.48	105694.89
9.6	93530.22	104151.01	105673.25	105694.97	93530.22	104151.01	105673.25	105694.97	93530.22	104151.01	105673.25	105694.97
9.8	93530.26	104151.05	105673.08	105695.02	93530.26	104151.05	105673.08	105695.02	93530.26	104151.05	105673.08	105695.02
10	93530.3	104151.09	105672.96	105695.08	93530.3	104151.09	105672.96	105695.08	93530.3	104151.09	105672.96	105695.08
10.5	93530.37	104151.21	105672.8	105695.17	93530.37	104151.21	105672.8	105695.17	93530.37	104151.21	105672.8	105695.17
11	93530.45	104151.33	105672.76	105695.24	93530.45	104151.33	105672.76	105695.24	93530.45	104151.33	105672.76	105695.24
